cell,dataset,selector,expected_candidate_count,planned_k,preparation_group,score_group,selection_group,configuration
aagu015-s-citeseer-seed2024-r0.01/degree,CiteSeer,degree,2328,23,,9286a88496aa5177c5af9baeecc532798f523cda891b36b0ae8f545748394047,d3aea0e3741e706d4d6e4a618509cf52951ab3fa0ede0707af8c75fc6ea64cd4,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/random,CiteSeer,random,2328,23,,8e9498dd584670a939cc00b2e34a0b4f23079a7826fbbf01fd33a2e8c399b979,b8310f12a6f7b58e4a88de40f6ba1fc2527f6f0116448fa8e0115f1550c11f66,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/a_grad_norm,CiteSeer,a_grad_norm,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,4165f781d9984800400c963db7a836f96de7fbd72f4e7d661f011f16882a0bfd,cc28b06dea393017e97127247a5f6a41ff2ec1536cdf93c841dce9abda6a43d7,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/b_param_hutch,CiteSeer,b_param_hutch,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,d75d967a8ba6fc498d8ba2f73f925a38ef1a16075a3f2ed841b54e562b6f81e7,287787575cf28e96e2ec221e9b4476cf7e4349a13741e499b567e320ac997ea4,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/r_point,CiteSeer,r_point,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,908f1f2b3ef0f29ac4cc777cdf5734f7c1e8aaf5ed6b3a67d044ecaa895c77db,39a09ffd744bea6336de5cf4bbde3156a7588f06592ba88e527e00e7398e0c6d,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/gt_simple,CiteSeer,gt_simple,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,f72bb5d81ab22a1cbe179e6517d59b604035966b599cd655f1ba469dbb576e8b,f16dbda9c852ae225ab0d9868ad3f3efce390ccb8ee95f0fefa23ac2008c9a98,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/gt_full,CiteSeer,gt_full,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,b718ab63533644be8edc02f4c720b46f3d7a7ce2a31f142b8395465641b27754,047056ff4edcf5d28ce6ce84704611d2f4f99183d5ceac26d926d7b92c8c22ef,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/p_point,CiteSeer,p_point,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,3756dc5b71e960505cdc1a504fde1350081658a39da8cbd79960fe558395dce6,ae8420f46c8d0b8c19dc23fe1e47def875a0b481187f728e0cecba822931709f,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/p_simple,CiteSeer,p_simple,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,1fee43895321ef9fdf1a7369985482373cbace41bc837d89abb289eb3c1b8735,7925cc5e25e1598e5bcca82dbf9ad3daaa9167c4fd1a41c24ac9ade1db00f050,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/p_graph,CiteSeer,p_graph,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,4f262f1903ac09ca23ac912ef87dd1ef54ef1074b7efd840cf471e43cc5b8c64,091ecbd5d62c8ba8fecee6433ea6bbac819973527bf2f69c919028317ae082a0,generated/stage_s/citeseer-seed2024-r0.01.yaml
