cell,selection_source_cell,method,effective_gu,configuration,execution_ready
aagu015-u-citeseer-seed2024-r0.01-a_grad_norm/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/a_grad_norm,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-a_grad_norm.yaml,False
aagu015-u-citeseer-seed2024-r0.01-a_grad_norm/GIF,aagu015-s-citeseer-seed2024-r0.01/a_grad_norm,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-a_grad_norm.yaml,False
aagu015-u-citeseer-seed2024-r0.01-b_param_hutch/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/b_param_hutch,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-b_param_hutch.yaml,False
aagu015-u-citeseer-seed2024-r0.01-b_param_hutch/GIF,aagu015-s-citeseer-seed2024-r0.01/b_param_hutch,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-b_param_hutch.yaml,False
aagu015-u-citeseer-seed2024-r0.01-degree/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/degree,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-degree.yaml,False
aagu015-u-citeseer-seed2024-r0.01-degree/GIF,aagu015-s-citeseer-seed2024-r0.01/degree,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-degree.yaml,False
aagu015-u-citeseer-seed2024-r0.01-gt_full/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/gt_full,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-gt_full.yaml,False
aagu015-u-citeseer-seed2024-r0.01-gt_full/GIF,aagu015-s-citeseer-seed2024-r0.01/gt_full,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-gt_full.yaml,False
aagu015-u-citeseer-seed2024-r0.01-gt_simple/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/gt_simple,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-gt_simple.yaml,False
aagu015-u-citeseer-seed2024-r0.01-gt_simple/GIF,aagu015-s-citeseer-seed2024-r0.01/gt_simple,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-gt_simple.yaml,False
aagu015-u-citeseer-seed2024-r0.01-legacy/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/legacy,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-legacy.yaml,False
aagu015-u-citeseer-seed2024-r0.01-legacy/GIF,aagu015-s-citeseer-seed2024-r0.01/legacy,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-legacy.yaml,False
aagu015-u-citeseer-seed2024-r0.01-p_graph/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/p_graph,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-p_graph.yaml,False
aagu015-u-citeseer-seed2024-r0.01-p_graph/GIF,aagu015-s-citeseer-seed2024-r0.01/p_graph,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-p_graph.yaml,False
aagu015-u-citeseer-seed2024-r0.01-p_point/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/p_point,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-p_point.yaml,False
aagu015-u-citeseer-seed2024-r0.01-p_point/GIF,aagu015-s-citeseer-seed2024-r0.01/p_point,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-p_point.yaml,False
aagu015-u-citeseer-seed2024-r0.01-p_simple/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/p_simple,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-p_simple.yaml,False
aagu015-u-citeseer-seed2024-r0.01-p_simple/GIF,aagu015-s-citeseer-seed2024-r0.01/p_simple,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-p_simple.yaml,False
aagu015-u-citeseer-seed2024-r0.01-r_point/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/r_point,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-r_point.yaml,False
aagu015-u-citeseer-seed2024-r0.01-r_point/GIF,aagu015-s-citeseer-seed2024-r0.01/r_point,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-r_point.yaml,False
aagu015-u-citeseer-seed2024-r0.01-random/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/random,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-random.yaml,False
aagu015-u-citeseer-seed2024-r0.01-random/GIF,aagu015-s-citeseer-seed2024-r0.01/random,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-random.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_graph_3/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_graph_3,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_graph_3.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_graph_3/GIF,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_graph_3,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_graph_3.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_graph_6/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_graph_6,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_graph_6.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_graph_6/GIF,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_graph_6,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_graph_6.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_point_3/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_point_3,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_point_3.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_point_3/GIF,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_point_3,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_point_3.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_point_6/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_point_6,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_point_6.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_point_6/GIF,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_point_6,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_point_6.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_simple_3/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_simple_3,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_simple_3.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_simple_3/GIF,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_simple_3,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_simple_3.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_simple_6/GNNDelete,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_simple_6,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_simple_6.yaml,False
aagu015-u-citeseer-seed2024-r0.01-tracin_cp_simple_6/GIF,aagu015-s-citeseer-seed2024-r0.01/tracin_cp_simple_6,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.01-tracin_cp_simple_6.yaml,False
aagu015-u-citeseer-seed2024-r0.05-a_grad_norm/GNNDelete,aagu015-s-citeseer-seed2024-r0.05/a_grad_norm,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.05-a_grad_norm.yaml,False
aagu015-u-citeseer-seed2024-r0.05-a_grad_norm/GIF,aagu015-s-citeseer-seed2024-r0.05/a_grad_norm,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.05-a_grad_norm.yaml,False
aagu015-u-citeseer-seed2024-r0.05-b_param_hutch/GNNDelete,aagu015-s-citeseer-seed2024-r0.05/b_param_hutch,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.05-b_param_hutch.yaml,False
aagu015-u-citeseer-seed2024-r0.05-b_param_hutch/GIF,aagu015-s-citeseer-seed2024-r0.05/b_param_hutch,GIF,62ada2d9af9908fa656b9ba489f4acf4e4ca051296cd4162a763492dab1c14a9,generated/stage_u/citeseer-seed2024-r0.05-b_param_hutch.yaml,False
aagu015-u-citeseer-seed2024-r0.05-degree/GNNDelete,aagu015-s-citeseer-seed2024-r0.05/degree,GNNDelete,0d6942f259ca309422f35359b08b05fda307295576415fac8c79c3ead96edeef,generated/stage_u/citeseer-seed2024-r0.05-degree.yaml,False
