arxiv_id,title,year,authors,venue,doi,citations,source_links,keywords,match_score,notes,local_path
2506.00808,Unlearning Inversion Attacks for Graph Neural Networks,2025,Jiahao Zhang; Yilong Wang; Zhiwei Zhang; Xiaorui Liu; Suhang Wang,arXiv.org,10.1145/3773966.3777929,2,https://arxiv.org/abs/2506.00808 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2506.00808?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.1145%2F3773966.3777929,"mia,privacy,retraining,unlearning",3+0+1+1=5,"relevance=3 from keyword groups: mia,privacy,retraining,unlearning; early citation stage",
2505.22649,Pre-training for Recommendation Unlearning,2025,Guoxuan Chen; Lianghao Xia; Chao Huang,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval,10.1145/3726302.3730060,2,https://arxiv.org/abs/2505.22649 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2505.22649?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.1145%2F3726302.3730060,"influence,privacy,retraining,unlearning",3+2+1+2=8,"relevance=3 from keyword groups: influence,privacy,retraining,unlearning; early citation stage",papers/2505.22649_pre_training_for_recommendation_unlearning.pdf
2512.02460,UniCom: Towards a Unified and Cohesiveness-aware Framework for Community Search and Detection,2025,Yifan Zhu; Hanchen Wang; Wenjie Zhang; Alexander Zhou; Ying Zhang,arXiv.org,10.48550/arXiv.2512.02460,0,https://arxiv.org/abs/2512.02460 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2512.02460?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2512.02460,"distillation,partition,retraining",3+0+0+1=4,"relevance=3 from keyword groups: distillation,partition,retraining; early citation stage",
2511.17989,Privacy Auditing of Multi-domain Graph Pre-trained Model under Membership Inference Attacks,2025,Jiayi Luo; Qingyun Sun; Yuecen Wei; Haonan Yuan; Xingcheng Fu; Jianxin Li,arXiv.org,10.48550/arXiv.2511.17989,1,https://arxiv.org/abs/2511.17989 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2511.17989?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2511.17989,"mia,privacy,unlearning",3+0+1+1=5,"relevance=3 from keyword groups: mia,privacy,unlearning; early citation stage",
2508.02044,Graph Unlearning via Embedding Reconstruction -- A Range-Null Space Decomposition Approach,2025,Hang Yin; Zipeng Liu; Xiaoyong Peng; Liyao Xiang,arXiv.org,10.48550/arXiv.2508.02044,0,https://arxiv.org/abs/2508.02044 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2508.02044?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2508.02044,"influence,retraining,unlearning",3+0+0+1=4,"relevance=3 from keyword groups: influence,retraining,unlearning; early citation stage",
2507.05649,DESIGN: Encrypted GNN Inference via Server-Side Input Graph Pruning,2025,Kaixiang Zhao; Joseph Yousry Attalla; Qian Lou; Yushun Dong,arXiv.org,10.48550/arXiv.2507.05649,1,https://arxiv.org/abs/2507.05649 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2507.05649?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2507.05649,"mia,partition,privacy",3+1+1+2=7,"relevance=3 from keyword groups: mia,partition,privacy; early citation stage",papers/2507.05649_design_encrypted_gnn_inference_via_server_side_input_graph_pruni.pdf
2506.04694,Influence Functions for Edge Edits in Non-Convex Graph Neural Networks,2025,Jaeseung Heo; Kyeongheung Yun; Seokwon Yoon; MoonJeong Park; Jungseul Ok; Dongwoo Kim,arXiv.org,10.48550/arXiv.2506.04694,0,https://arxiv.org/abs/2506.04694 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2506.04694?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2506.04694,"influence,retraining,unlearning",3+0+0+1=4,"relevance=3 from keyword groups: influence,retraining,unlearning; early citation stage",
2505.10040,Instance-Prototype Affinity Learning for Non-Exemplar Continual Graph Learning,2025,Lei Song; Jiaxing Li; Shihan Guan; Youyong Kong,arXiv.org,10.48550/arXiv.2505.10040,0,https://arxiv.org/abs/2505.10040 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2505.10040?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2505.10040,"distillation,privacy,unlearning",3+0+0+1=4,"relevance=3 from keyword groups: distillation,privacy,unlearning; early citation stage",
2503.02959,Node-level Contrastive Unlearning on Graph Neural Networks,2025,Hong kyu Lee; Qiuchen Zhang; Carl Yang; Li Xiong,arXiv.org,10.48550/arXiv.2503.02959,1,https://arxiv.org/abs/2503.02959 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2503.02959?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2503.02959,"influence,partition,unlearning",3+0+1+1=5,"relevance=3 from keyword groups: influence,partition,unlearning; early citation stage",
2502.06327,Prompt-Driven Continual Graph Learning,2025,Qi Wang; Tianfei Zhou; Ye Yuan; Rui Mao,arXiv.org,10.48550/arXiv.2502.06327,1,https://arxiv.org/abs/2502.06327 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2502.06327?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2502.06327,"privacy,retraining,unlearning",3+1+1+2=7,"relevance=3 from keyword groups: privacy,retraining,unlearning; early citation stage",papers/2502.06327_prompt_driven_continual_graph_learning.pdf
2501.11823,Toward Scalable Graph Unlearning: A Node Influence Maximization based Approach,2025,Xunkai Li; Bowen Fan; Zhengyu Wu; Zhiyu Li; Rong-Hua Li; Guoren Wang,arXiv.org,10.48550/arXiv.2501.11823,4,https://arxiv.org/abs/2501.11823 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2501.11823?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2501.11823,"influence,privacy,unlearning",3+0+1+1=5,"relevance=3 from keyword groups: influence,privacy,unlearning; early citation stage",
2501.02728,OpenGU: A Comprehensive Benchmark for Graph Unlearning,2025,Bowen Fan; Yuming Ai; Xunkai Li; Zhilin Guo; Rong-Hua Li; Guoren Wang,arXiv.org,10.48550/arXiv.2501.02728,8,https://arxiv.org/abs/2501.02728 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2501.02728?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2501.02728,"privacy,retraining,unlearning",3+0+1+1=5,"relevance=3 from keyword groups: privacy,retraining,unlearning",papers/2501.02728_opengu_a_comprehensive_benchmark_for_graph_unlearning.pdf
2408.09705,Community-Centric Graph Unlearning,2024,Yi Li; Shichao Zhang; Guixian Zhang; Debo Cheng,AAAI Conference on Artificial Intelligence,10.48550/arXiv.2408.09705,3,https://arxiv.org/abs/2408.09705 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2408.09705?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2408.09705,"partition,privacy,unlearning",3+3+1+1=8,"relevance=3 from keyword groups: partition,privacy,unlearning",papers/2408.09705_community_centric_graph_unlearning.pdf
2408.09212,Scalable and Certifiable Graph Unlearning: Overcoming the Approximation Error Barrier,2024,Lu Yi; Zhewei Wei,International Conference on Learning Representations,unknown,10,https://arxiv.org/abs/2408.09212 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2408.09212?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue,"privacy,retraining,unlearning",3+2+2+2=9,"relevance=3 from keyword groups: privacy,retraining,unlearning; doi unknown",papers/2408.09212_scalable_and_certifiable_graph_unlearning_overcoming_the_approxi.pdf
2403.07353,Graph Unlearning with Efficient Partial Retraining,2024,Jiahao Zhang; Lin Wang; Shijie Wang; Wenqi Fan,Companion Proceedings of the ACM Web Conference 2024,10.1145/3589335.3651265,23,https://arxiv.org/abs/2403.07353 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2403.07353?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.1145%2F3589335.3651265,"partition,retraining,unlearning",3+2+2+1=8,"relevance=3 from keyword groups: partition,retraining,unlearning",papers/2403.07353_graph_unlearning_with_efficient_partial_retraining.pdf
2402.10695,Unlink to Unlearn: Simplifying Edge Unlearning in GNNs,2024,Jiajun Tan; Fei Sun; Ruichen Qiu; Du Su; Huawei Shen,The Web Conference,10.48550/arXiv.2402.10695,17,https://arxiv.org/abs/2402.10695 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2402.10695?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2402.10695,"mia,privacy,unlearning",3+3+2+1=9,"relevance=3 from keyword groups: mia,privacy,unlearning",papers/2402.10695_unlink_to_unlearn_simplifying_edge_unlearning_in_gnns.pdf
2401.11760,Towards Effective and General Graph Unlearning via Mutual Evolution,2024,Xunkai Li; Yulin Zhao; Zhengyu Wu; Wentao Zhang; Rong-Hua Li; Guoren Wang,unknown,unknown,unknown,https://arxiv.org/abs/2401.11760 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2401.11760?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue,"privacy,retraining,unlearning",3+0+0+1=4,"relevance=3 from keyword groups: privacy,retraining,unlearning; venue unknown from available metadata; citations unknown from S2 response; doi unknown",
2601.09469,FairGU: Fairness-aware Graph Unlearning in Social Networks,2026,Renqiang Luo; Yongshuai Yang; Huafei Huang; Qing Qing; Mingliang Hou; Ziqi Xu; Yi Yu; Jingjing Zhou; Feng Xia,unknown,unknown,0,https://arxiv.org/abs/2601.09469 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2601.09469?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue,"privacy,unlearning",3+1+0+2=6,"relevance=3 from keyword groups: privacy,unlearning; venue unknown from available metadata; early citation stage; doi unknown",papers/2601.09469_fairgu_fairness_aware_graph_unlearning_in_social_networks.pdf
2511.14168,Certified Signed Graph Unlearning,2025,Junpeng Zhao; Lin Li; Kaixi Hu; Kaize Shi; Jingling Yuan,arXiv.org,10.48550/arXiv.2511.14168,0,https://arxiv.org/abs/2511.14168 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2511.14168?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2511.14168,"privacy,unlearning",3+0+0+1=4,"relevance=3 from keyword groups: privacy,unlearning; early citation stage",
2511.10936,GraphToxin: Reconstructing Full Unlearned Graphs from Graph Unlearning,2025,Ying Song; Balaji Palanisamy,arXiv.org,10.48550/arXiv.2511.10936,0,https://arxiv.org/abs/2511.10936 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2511.10936?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2511.10936,"privacy,unlearning",3+0+0+1=4,"relevance=3 from keyword groups: privacy,unlearning; early citation stage",
2509.04785,Graph Unlearning: Efficient Node Removal in Graph Neural Networks,2025,Faqian Guan; Tianqing Zhu; Zhoutian Wang; Wei Ren; Wanlei Zhou,unknown,unknown,unknown,https://arxiv.org/abs/2509.04785 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2509.04785?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue,"privacy,unlearning",3+0+0+1=4,"relevance=3 from keyword groups: privacy,unlearning; venue unknown from available metadata; citations unknown from S2 response; doi unknown",
2508.02485,Federated Graph Unlearning,2025,Yuming Ai; Xunkai Li; Jiaqi Chao; Bowen Fan; Zhengyu Wu; Yinlin Zhu; Rong-Hua Li; Guoren Wang,arXiv.org,10.48550/arXiv.2508.02485,1,https://arxiv.org/abs/2508.02485 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2508.02485?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2508.02485,"privacy,unlearning",3+0+1+1=5,"relevance=3 from keyword groups: privacy,unlearning; early citation stage",
2505.14945,Unlearning Algorithmic Biases over Graphs,2025,O. Deniz Kose; Gonzalo Mateos; Yanning Shen,arXiv.org,10.48550/arXiv.2505.14945,0,https://arxiv.org/abs/2505.14945 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2505.14945?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2505.14945,"retraining,unlearning",3+0+0+1=4,"relevance=3 from keyword groups: retraining,unlearning; early citation stage",
