arxiv_id,title,year,authors,venue,doi,citations,source_links,keywords,match_score,notes,local_path
2402.10695,Unlink to Unlearn: Simplifying Edge Unlearning in GNNs,2024,Jiajun Tan; Fei Sun; Ruichen Qiu; Du Su; Huawei Shen,The Web Conference,10.48550/arXiv.2402.10695,17,https://arxiv.org/abs/2402.10695 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2402.10695?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2402.10695,"mia,privacy,unlearning",3+3+2+1=9,"relevance=3 from keyword groups: mia,privacy,unlearning",papers/2402.10695_unlink_to_unlearn_simplifying_edge_unlearning_in_gnns.pdf
2403.07353,Graph Unlearning with Efficient Partial Retraining,2024,Jiahao Zhang; Lin Wang; Shijie Wang; Wenqi Fan,Companion Proceedings of the ACM Web Conference 2024,10.1145/3589335.3651265,23,https://arxiv.org/abs/2403.07353 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2403.07353?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.1145%2F3589335.3651265,"partition,retraining,unlearning",3+2+2+1=8,"relevance=3 from keyword groups: partition,retraining,unlearning",papers/2403.07353_graph_unlearning_with_efficient_partial_retraining.pdf
2408.09212,Scalable and Certifiable Graph Unlearning: Overcoming the Approximation Error Barrier,2024,Lu Yi; Zhewei Wei,International Conference on Learning Representations,unknown,10,https://arxiv.org/abs/2408.09212 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2408.09212?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue,"privacy,retraining,unlearning",3+2+2+2=9,"relevance=3 from keyword groups: privacy,retraining,unlearning; doi unknown",papers/2408.09212_scalable_and_certifiable_graph_unlearning_overcoming_the_approxi.pdf
2408.09705,Community-Centric Graph Unlearning,2024,Yi Li; Shichao Zhang; Guixian Zhang; Debo Cheng,AAAI Conference on Artificial Intelligence,10.48550/arXiv.2408.09705,3,https://arxiv.org/abs/2408.09705 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2408.09705?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2408.09705,"partition,privacy,unlearning",3+3+1+1=8,"relevance=3 from keyword groups: partition,privacy,unlearning",papers/2408.09705_community_centric_graph_unlearning.pdf
2501.02728,OpenGU: A Comprehensive Benchmark for Graph Unlearning,2025,Bowen Fan; Yuming Ai; Xunkai Li; Zhilin Guo; Rong-Hua Li; Guoren Wang,arXiv.org,10.48550/arXiv.2501.02728,8,https://arxiv.org/abs/2501.02728 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2501.02728?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2501.02728,"privacy,retraining,unlearning",3+0+1+1=5,"relevance=3 from keyword groups: privacy,retraining,unlearning",papers/2501.02728_opengu_a_comprehensive_benchmark_for_graph_unlearning.pdf
2501.11823,Toward Scalable Graph Unlearning: A Node Influence Maximization based Approach,2025,Xunkai Li; Bowen Fan; Zhengyu Wu; Zhiyu Li; Rong-Hua Li; Guoren Wang,arXiv.org,10.48550/arXiv.2501.11823,4,https://arxiv.org/abs/2501.11823 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2501.11823?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2501.11823,"influence,privacy,unlearning",3+0+1+1=5,"relevance=3 from keyword groups: influence,privacy,unlearning; early citation stage",papers/2501.11823_toward_scalable_graph_unlearning_a_node_influence_maximization_b.pdf
2506.04694,Influence Functions for Edge Edits in Non-Convex Graph Neural Networks,2025,Jaeseung Heo; Kyeongheung Yun; Seokwon Yoon; MoonJeong Park; Jungseul Ok; Dongwoo Kim,arXiv.org,10.48550/arXiv.2506.04694,0,https://arxiv.org/abs/2506.04694 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2506.04694?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2506.04694,"influence,retraining,unlearning",3+0+0+1=4,"relevance=3 from keyword groups: influence,retraining,unlearning; early citation stage",papers/2506.04694_influence_functions_for_edge_edits_in_non_convex_graph_neural_ne.pdf
2511.17989,Privacy Auditing of Multi-domain Graph Pre-trained Model under Membership Inference Attacks,2025,Jiayi Luo; Qingyun Sun; Yuecen Wei; Haonan Yuan; Xingcheng Fu; Jianxin Li,arXiv.org,10.48550/arXiv.2511.17989,1,https://arxiv.org/abs/2511.17989 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2511.17989?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2511.17989,"mia,privacy,unlearning",3+0+1+1=5,"relevance=3 from keyword groups: mia,privacy,unlearning; early citation stage",papers/2511.17989_privacy_auditing_of_multi_domain_graph_pre_trained_model_under_m.pdf
2505.10040,Instance-Prototype Affinity Learning for Non-Exemplar Continual Graph Learning,2025,Lei Song; Jiaxing Li; Shihan Guan; Youyong Kong,arXiv.org,10.48550/arXiv.2505.10040,0,https://arxiv.org/abs/2505.10040 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2505.10040?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2505.10040,"distillation,privacy,unlearning",3+0+0+1=4,"relevance=3 from keyword groups: distillation,privacy,unlearning; early citation stage",papers/2505.10040_instance_prototype_affinity_learning_for_non_exemplar_continual.pdf
2508.02485,Federated Graph Unlearning,2025,Yuming Ai; Xunkai Li; Jiaqi Chao; Bowen Fan; Zhengyu Wu; Yinlin Zhu; Rong-Hua Li; Guoren Wang,arXiv.org,10.48550/arXiv.2508.02485,1,https://arxiv.org/abs/2508.02485 | https://api.semanticscholar.org/graph/v1/paper/arXiv:2508.02485?fields=title%2Cyear%2CcitationCount%2Cvenue%2CexternalIds%2Cauthors%2Curl%2CpublicationVenue | https://api.crossref.org/works/10.48550%2FarXiv.2508.02485,"privacy,unlearning",3+0+1+1=5,"relevance=3 from keyword groups: privacy,unlearning; early citation stage",papers/2508.02485_federated_graph_unlearning.pdf
