cell,method,strategy,seed,failed,f1_after,paired_dF_pct,perf_before,perf_unlearn,perf_retrain,gap,mia_auc,hop1_flip,hop2_flip,hop3_flip,hop>3_flip,unlearn_time_s,selection_time_s
cora_GAT_r0.05,GIF,random,42,False,0.8303,0.0,0.878229,0.861624,0.859779,-0.001845,0.5394,,,,,0.7935,0.0002
cora_GAT_r0.05,GIF,random,212,False,0.8284,0.0,0.861624,0.869004,0.863469,-0.005535,0.567,,,,,0.9407,0.0002
cora_GAT_r0.05,GIF,random,722,False,0.8044,0.0,0.859779,0.874539,0.863469,-0.01107,0.5734,,,,,0.8143,0.0002
cora_GAT_r0.05,GIF,random,1337,False,0.81,0.0,0.861624,0.863469,0.865314,0.001845,0.5365,,,,,0.8345,0.0003
cora_GAT_r0.05,GIF,random,2024,False,0.8118,0.0,0.865314,0.863469,0.856089,-0.00738,0.5927,,,,,0.3855,0.0002
cora_GAT_r0.05,GIF,degree,42,False,0.7804,4.99,0.878229,0.859779,0.857934,-0.001845,0.2931,,,,,0.8328,0.0005
cora_GAT_r0.05,GIF,degree,212,False,0.8063,2.21,0.872694,0.869004,0.867159,-0.001845,0.2828,,,,,0.8398,0.001
cora_GAT_r0.05,GIF,degree,722,False,0.7601,4.43,0.863469,0.876384,0.863469,-0.012915,0.3256,,,,,0.8733,0.0015
cora_GAT_r0.05,GIF,degree,1337,False,0.7786,3.14,0.870849,0.857934,0.859779,0.001845,0.3179,,,,,0.8274,0.0008
cora_GAT_r0.05,GIF,degree,2024,False,0.8155,-0.37,0.867159,0.863469,0.854244,-0.009225,0.3446,,,,,0.8041,0.0009
cora_GAT_r0.05,GIF,pagerank,42,False,0.7804,4.99,0.878229,0.861624,0.865314,0.00369,0.3157,,,,,0.8121,0.0376
cora_GAT_r0.05,GIF,pagerank,212,False,0.8044,2.4,0.859779,0.869004,0.867159,-0.001845,0.3506,,,,,0.807,0.037
cora_GAT_r0.05,GIF,pagerank,722,False,0.7878,1.66,0.867159,0.874539,0.861624,-0.012915,0.3487,,,,,0.7973,0.0367
cora_GAT_r0.05,GIF,pagerank,1337,False,0.7841,2.59,0.867159,0.857934,0.857934,0.0,0.3214,,,,,0.8365,0.0379
cora_GAT_r0.05,GIF,pagerank,2024,False,0.8173,-0.55,0.865314,0.863469,0.857934,-0.005535,0.3608,,,,,0.6283,0.037
cora_GAT_r0.05,GIF,tracin,42,False,0.7952,3.51,0.878229,0.861624,0.859779,-0.001845,0.4228,,,,,0.8186,4.0304
cora_GAT_r0.05,GIF,tracin,212,False,0.8247,0.37,0.870849,0.869004,0.846863,-0.02214,0.4328,,,,,0.7999,3.4496
cora_GAT_r0.05,GIF,tracin,722,False,0.8118,-0.74,0.859779,0.874539,0.856089,-0.01845,0.381,,,,,0.8319,3.4869
cora_GAT_r0.05,GIF,tracin,1337,False,0.81,0.0,0.869004,0.856089,0.839483,-0.016605,0.4187,,,,,0.8154,3.3704
cora_GAT_r0.05,GIF,tracin,2024,False,0.8044,0.74,0.865314,0.863469,0.854244,-0.009225,0.4039,,,,,0.829,3.8873
cora_GAT_r0.05,GIF,im,42,False,0.8063,2.4,0.880074,0.861624,0.865314,0.00369,0.3771,,,,,0.7124,1.5652
cora_GAT_r0.05,GIF,im,212,False,0.8192,0.92,0.870849,0.869004,0.872694,0.00369,0.4124,,,,,0.7394,1.5652
