budget,dataset,family,method,removed_directed_edges,retained_train_accuracy_drop,reused_identical_selected_set,seed,test_accuracy_drop,test_loss_increase,validation_accuracy_drop,validation_loss_increase
3,CiteSeer,A,a_grad_norm,32,-0.0158119797706604,False,2024,0.0020000338554382324,-0.031900644302368164,-0.015999972820281982,-0.03396308422088623
7,CiteSeer,A,a_grad_norm,74,-0.03230088949203491,False,2024,-0.0029999613761901855,-0.02028656005859375,-0.009999990463256836,-0.027599334716796875
14,CiteSeer,A,a_grad_norm,136,-0.04056602716445923,False,2024,-0.012999951839447021,-0.06770861148834229,-0.013999998569488525,-0.07529544830322266
3,CiteSeer,B,b_param_hutch,36,-0.02435898780822754,False,2024,0.0,-0.011854052543640137,-0.0040000081062316895,-0.01642787456512451
7,CiteSeer,B,b_param_hutch,84,-0.041150450706481934,False,2024,0.0,-0.042107462882995605,-0.015999972820281982,-0.047216057777404785
14,CiteSeer,B,b_param_hutch,128,-0.050000011920928955,False,2024,0.009000003337860107,-0.028424501419067383,-0.011999964714050293,-0.03251063823699951
3,CiteSeer,B,b_param_lissa,38,-0.03290599584579468,False,2024,0.0020000338554382324,-0.02711343765258789,-0.0040000081062316895,-0.030816316604614258
7,CiteSeer,B,b_param_lissa,84,-0.041150450706481934,False,2024,0.0,-0.01705801486968994,-0.009999990463256836,-0.019994616508483887
14,CiteSeer,B,b_param_lissa,124,-0.050000011920928955,False,2024,0.001000046730041504,-0.06310999393463135,-0.013999998569488525,-0.07699906826019287
3,CiteSeer,control,degree,84,-0.02435898780822754,False,2024,0.0,-0.021476149559020996,-0.0059999823570251465,-0.020458698272705078
7,CiteSeer,control,degree,166,-0.03230088949203491,False,2024,0.013999998569488525,-0.007270693778991699,0.0020000338554382324,-0.008893609046936035
14,CiteSeer,control,degree,260,-0.04056602716445923,False,2024,0.03900003433227539,0.04561150074005127,0.022000014781951904,0.04747474193572998
3,CiteSeer,C-GIF,gt_full,20,-0.0158119797706604,False,2024,0.008000016212463379,-0.020825624465942383,-0.001999974250793457,-0.017911553382873535
7,CiteSeer,C-GIF,gt_full,50,-0.02345132827758789,False,2024,0.01500004529953003,-0.03508353233337402,-0.0059999823570251465,-0.026543378829956055
14,CiteSeer,C-GIF,gt_full,120,-0.031132102012634277,False,2024,0.04000002145767212,-0.002373933792114258,0.019999980926513672,0.008325815200805664
3,CiteSeer,C-IF,gt_simple,54,-0.0158119797706604,False,2024,-0.0029999613761901855,-0.023222684860229492,-0.013999998569488525,-0.02051079273223877
7,CiteSeer,C-IF,gt_simple,122,-0.01460176706314087,False,2024,0.026000022888183594,0.03500080108642578,0.008000016212463379,0.04509449005126953
14,CiteSeer,C-IF,gt_simple,190,-0.031132102012634277,False,2024,0.078000009059906,0.07927548885345459,0.078000009059906,0.08733701705932617
3,CiteSeer,legacy,legacy,42,-0.007264971733093262,False,2024,-0.007999956607818604,-0.024158358573913574,-0.02799999713897705,-0.024430513381958008
7,CiteSeer,legacy,legacy,110,-0.005752205848693848,False,2024,0.03900003433227539,0.05188095569610596,0.018000006675720215,0.048134565353393555
14,CiteSeer,legacy,legacy,152,-0.02169811725616455,False,2024,0.14500004053115845,0.13114774227142334,0.11000001430511475,0.12696385383605957
3,CiteSeer,C-GIF,p_graph,20,-0.0158119797706604,True,2024,0.008000016212463379,-0.020825624465942383,-0.001999974250793457,-0.017911553382873535
7,CiteSeer,C-GIF,p_graph,48,-0.02345132827758789,False,2024,0.013000011444091797,-0.03316235542297363,0.0,-0.026561260223388672
14,CiteSeer,C-GIF,p_graph,92,-0.031132102012634277,False,2024,0.030000030994415283,-0.01675724983215332,0.012000024318695068,-0.004452824592590332
3,CiteSeer,C-point,p_point,36,-0.0158119797706604,False,2024,0.003000020980834961,-0.00904393196105957,-0.022000014781951904,-0.012804627418518066
7,CiteSeer,C-point,p_point,64,-0.01460176706314087,False,2024,0.06000000238418579,0.044992804527282715,0.008000016212463379,0.03125917911529541
14,CiteSeer,C-point,p_point,108,-0.02169811725616455,False,2024,0.15400004386901855,0.19766247272491455,0.10000002384185791,0.16213881969451904
3,CiteSeer,C-IF,p_simple,50,-0.007264971733093262,False,2024,-0.004999995231628418,-0.024155497550964355,0.0059999823570251465,-0.03161740303039551
7,CiteSeer,C-IF,p_simple,104,-0.01460176706314087,False,2024,0.0020000338554382324,-0.012514829635620117,-0.011999964714050293,-0.014743447303771973
14,CiteSeer,C-IF,p_simple,190,-0.031132102012634277,True,2024,0.078000009059906,0.07927548885345459,0.078000009059906,0.08733701705932617
3,CiteSeer,C-point,r_point,36,-0.0158119797706604,True,2024,0.003000020980834961,-0.00904393196105957,-0.022000014781951904,-0.012804627418518066
7,CiteSeer,C-point,r_point,84,-0.02345132827758789,False,2024,0.04700005054473877,0.034210920333862305,0.0040000081062316895,0.02240121364593506
14,CiteSeer,C-point,r_point,108,-0.02169811725616455,True,2024,0.15400004386901855,0.19766247272491455,0.10000002384185791,0.16213881969451904
3,CiteSeer,control,random,8,-0.007264971733093262,False,2024,-0.0009999871253967285,-0.03161180019378662,-0.008000016212463379,-0.031192302703857422
7,CiteSeer,control,random,24,-0.01460176706314087,False,2024,0.025000035762786865,0.014412522315979004,0.026000022888183594,0.005954623222351074
14,CiteSeer,control,random,90,-0.0122641921043396,False,2024,0.04500001668930054,0.0534815788269043,0.04799997806549072,0.04232156276702881
3,CiteSeer,C-GIF,tracin_cp_graph_3,16,-0.0158119797706604,False,2024,0.003000020980834961,-0.020540475845336914,-0.015999972820281982,-0.01567673683166504
7,CiteSeer,C-GIF,tracin_cp_graph_3,26,-0.01460176706314087,False,2024,0.024000048637390137,0.009035110473632812,0.008000016212463379,0.008239030838012695
14,CiteSeer,C-GIF,tracin_cp_graph_3,48,-0.02169811725616455,False,2024,0.14300000667572021,0.1584773063659668,0.078000009059906,0.12352931499481201
3,CiteSeer,C-GIF,tracin_cp_graph_6,16,-0.0158119797706604,True,2024,0.003000020980834961,-0.020540475845336914,-0.015999972820281982,-0.01567673683166504
7,CiteSeer,C-GIF,tracin_cp_graph_6,30,-0.01460176706314087,False,2024,0.06000000238418579,0.03360867500305176,0.026000022888183594,0.026466012001037598
14,CiteSeer,C-GIF,tracin_cp_graph_6,58,-0.0122641921043396,False,2024,0.1420000195503235,0.10657060146331787,0.08600002527236938,0.08146846294403076
3,CiteSeer,C-point,tracin_cp_point_3,44,-0.0158119797706604,False,2024,0.016000032424926758,0.00626373291015625,-0.001999974250793457,0.0009851455688476562
7,CiteSeer,C-point,tracin_cp_point_3,62,-0.01460176706314087,False,2024,0.11200004816055298,0.08842027187347412,0.04799997806549072,0.06276798248291016
14,CiteSeer,C-point,tracin_cp_point_3,78,-0.0122641921043396,False,2024,0.1510000228881836,0.22898375988006592,0.09399998188018799,0.18956518173217773
3,CiteSeer,C-point,tracin_cp_point_6,44,-0.0158119797706604,True,2024,0.016000032424926758,0.00626373291015625,-0.001999974250793457,0.0009851455688476562
7,CiteSeer,C-point,tracin_cp_point_6,62,-0.01460176706314087,True,2024,0.11200004816055298,0.08842027187347412,0.04799997806549072,0.06276798248291016
14,CiteSeer,C-point,tracin_cp_point_6,80,-0.02169811725616455,False,2024,0.1510000228881836,0.253764271736145,0.09399998188018799,0.21099257469177246
3,CiteSeer,C-IF,tracin_cp_simple_3,54,-0.0158119797706604,True,2024,-0.0029999613761901855,-0.023222684860229492,-0.013999998569488525,-0.02051079273223877
7,CiteSeer,C-IF,tracin_cp_simple_3,122,-0.01460176706314087,False,2024,0.026000022888183594,0.009302735328674316,0.012000024318695068,0.022785663604736328
14,CiteSeer,C-IF,tracin_cp_simple_3,174,-0.02169811725616455,False,2024,0.09400004148483276,0.09689092636108398,0.08600002527236938,0.09634256362915039
3,CiteSeer,C-IF,tracin_cp_simple_6,54,-0.0158119797706604,True,2024,-0.0029999613761901855,-0.023222684860229492,-0.013999998569488525,-0.02051079273223877
7,CiteSeer,C-IF,tracin_cp_simple_6,122,-0.01460176706314087,True,2024,0.026000022888183594,0.009302735328674316,0.012000024318695068,0.022785663604736328
14,CiteSeer,C-IF,tracin_cp_simple_6,174,-0.02169811725616455,True,2024,0.09400004148483276,0.09689092636108398,0.08600002527236938,0.09634256362915039
3,CiteSeer,A,a_grad_norm,56,-0.024572670459747314,False,212,0.013999998569488525,-0.017716169357299805,0.012000024318695068,-0.011827468872070312
7,CiteSeer,A,a_grad_norm,82,-0.02396756410598755,False,212,0.020000040531158447,-0.020914793014526367,0.0020000338554382324,-0.020046234130859375
14,CiteSeer,A,a_grad_norm,126,-0.04166668653488159,False,212,0.001000046730041504,-0.033006906509399414,-0.011999964714050293,-0.04101765155792236
3,CiteSeer,B,b_param_hutch,48,-0.016025662422180176,False,212,0.008000016212463379,-0.0071059465408325195,0.018000006675720215,0.00040018558502197266
7,CiteSeer,B,b_param_hutch,84,-0.02396756410598755,False,212,0.004999995231628418,-0.01629030704498291,0.0,-0.012535691261291504
14,CiteSeer,B,b_param_hutch,110,-0.032232701778411865,False,212,0.0020000338554382324,-0.012967705726623535,0.0040000081062316895,-0.025944948196411133
3,CiteSeer,B,b_param_lissa,56,-0.007478654384613037,False,212,0.008000016212463379,0.008602738380432129,0.022000014781951904,0.012097835540771484
7,CiteSeer,B,b_param_lissa,86,-0.02396756410598755,False,212,0.01100003719329834,-0.029821038246154785,-0.003999948501586914,-0.028603076934814453
14,CiteSeer,B,b_param_lissa,120,-0.04166668653488159,False,212,0.001000046730041504,-0.03968644142150879,-0.009999990463256836,-0.054067373275756836
3,CiteSeer,control,degree,84,-0.016025662422180176,False,212,0.018000006675720215,0.03536522388458252,0.016000032424926758,0.03896129131317139
7,CiteSeer,control,degree,166,-0.02396756410598755,False,212,0.03299999237060547,0.05168294906616211,0.020000040531158447,0.054576873779296875
14,CiteSeer,control,degree,260,-0.022798776626586914,False,212,0.03800004720687866,0.08340370655059814,0.05200004577636719,0.09073591232299805
3,CiteSeer,C-GIF,gt_full,12,0.0010683536529541016,False,212,0.0020000338554382324,-0.02343928813934326,-0.011999964714050293,-0.019983291625976562
7,CiteSeer,C-GIF,gt_full,30,-0.006268441677093506,False,212,0.01100003719329834,-0.025044679641723633,-0.007999956607818604,-0.00858926773071289
14,CiteSeer,C-GIF,gt_full,80,-0.013364791870117188,False,212,0.046000003814697266,0.04534292221069336,0.02799999713897705,0.04567885398864746
3,CiteSeer,C-IF,gt_simple,54,0.0010683536529541016,False,212,0.013000011444091797,0.020632386207580566,0.006000041961669922,0.02294778823852539
7,CiteSeer,C-IF,gt_simple,106,-0.006268441677093506,False,212,0.041999995708465576,0.03418731689453125,0.041999995708465576,0.05165219306945801
14,CiteSeer,C-IF,gt_simple,196,-0.013364791870117188,False,212,0.07600003480911255,0.0835639238357544,0.09000003337860107,0.10240447521209717
3,CiteSeer,legacy,legacy,36,-0.016025662422180176,False,212,0.008000016212463379,-0.013800621032714844,0.006000041961669922,-0.001016855239868164
7,CiteSeer,legacy,legacy,64,-0.02396756410598755,False,212,0.03800004720687866,0.035534024238586426,0.041999995708465576,0.06330013275146484
14,CiteSeer,legacy,legacy,130,-0.003930866718292236,False,212,0.11000001430511475,0.1803683042526245,0.12200003862380981,0.25283312797546387
3,CiteSeer,C-GIF,p_graph,10,0.0010683536529541016,False,212,0.009000003337860107,-0.01251673698425293,-0.015999972820281982,-0.007551670074462891
7,CiteSeer,C-GIF,p_graph,28,-0.006268441677093506,False,212,0.003000020980834961,0.003969073295593262,-0.007999956607818604,0.008722066879272461
14,CiteSeer,C-GIF,p_graph,86,-0.003930866718292236,False,212,0.04500001668930054,0.06262350082397461,0.03600001335144043,0.06446897983551025
3,CiteSeer,C-point,p_point,40,-0.007478654384613037,False,212,0.001000046730041504,0.014801859855651855,0.026000022888183594,0.014259696006774902
7,CiteSeer,C-point,p_point,70,-0.015118002891540527,False,212,0.03700000047683716,0.03260922431945801,0.024000048637390137,0.027065157890319824
14,CiteSeer,C-point,p_point,116,-0.032232701778411865,False,212,0.14500004053115845,0.1264256238937378,0.10199999809265137,0.11364626884460449
3,CiteSeer,C-IF,p_simple,54,0.0010683536529541016,True,212,0.013000011444091797,0.020632386207580566,0.006000041961669922,0.02294778823852539
7,CiteSeer,C-IF,p_simple,122,0.0025811195373535156,False,212,0.03100001811981201,0.04974818229675293,0.024000048637390137,0.06404578685760498
14,CiteSeer,C-IF,p_simple,196,-0.022798776626586914,False,212,0.07200002670288086,0.08767342567443848,0.0820000171661377,0.1054849624633789
3,CiteSeer,C-point,r_point,40,-0.007478654384613037,True,212,0.001000046730041504,0.014801859855651855,0.026000022888183594,0.014259696006774902
7,CiteSeer,C-point,r_point,78,-0.02396756410598755,False,212,0.02799999713897705,0.04050588607788086,0.0480000376701355,0.04296553134918213
14,CiteSeer,C-point,r_point,110,-0.022798776626586914,False,212,0.15000003576278687,0.16521108150482178,0.12000000476837158,0.15066170692443848
3,CiteSeer,control,random,16,-0.007478654384613037,False,212,-0.0029999613761901855,0.000512242317199707,-0.0059999823570251465,-0.001916646957397461
7,CiteSeer,control,random,34,-0.015118002891540527,False,212,0.00700002908706665,0.005223512649536133,-0.007999956607818604,-0.0062639713287353516
14,CiteSeer,control,random,68,-0.013364791870117188,False,212,-0.004999995231628418,-0.0029549598693847656,-0.009999990463256836,-0.0091094970703125
3,CiteSeer,C-GIF,tracin_cp_graph_3,6,-0.007478654384613037,False,212,0.003000020980834961,-0.011628270149230957,0.0040000081062316895,-0.01066732406616211
7,CiteSeer,C-GIF,tracin_cp_graph_3,28,0.0025811195373535156,False,212,0.04000002145767212,0.018055081367492676,0.024000048637390137,0.023302674293518066
14,CiteSeer,C-GIF,tracin_cp_graph_3,56,0.00550311803817749,False,212,0.14399999380111694,0.13662707805633545,0.1040000319480896,0.1270989179611206
3,CiteSeer,C-GIF,tracin_cp_graph_6,6,-0.007478654384613037,True,212,0.003000020980834961,-0.011628270149230957,0.0040000081062316895,-0.01066732406616211
7,CiteSeer,C-GIF,tracin_cp_graph_6,26,-0.006268441677093506,False,212,0.057000041007995605,0.025123119354248047,0.04000002145767212,0.029431581497192383
14,CiteSeer,C-GIF,tracin_cp_graph_6,62,-0.013364791870117188,False,212,0.11500000953674316,0.10046672821044922,0.0820000171661377,0.09476709365844727
3,CiteSeer,C-point,tracin_cp_point_3,56,-0.016025662422180176,False,212,0.013000011444091797,0.0280076265335083,0.04400002956390381,0.032337188720703125
7,CiteSeer,C-point,tracin_cp_point_3,80,-0.006268441677093506,False,212,0.06700003147125244,0.047632575035095215,0.04400002956390381,0.04166710376739502
14,CiteSeer,C-point,tracin_cp_point_3,100,-0.013364791870117188,False,212,0.14500004053115845,0.20646142959594727,0.12000000476837158,0.18686330318450928
3,CiteSeer,C-point,tracin_cp_point_6,56,-0.016025662422180176,True,212,0.013000011444091797,0.0280076265335083,0.04400002956390381,0.032337188720703125
7,CiteSeer,C-point,tracin_cp_point_6,70,-0.006268441677093506,False,212,0.05900001525878906,0.039963364601135254,0.046000003814697266,0.04127776622772217
