budget,family,method,n_cells,test_accuracy_drop_mean,test_accuracy_drop_std,test_loss_increase_mean,test_loss_increase_std,validation_accuracy_drop_mean,validation_accuracy_drop_std,validation_loss_increase_mean,validation_loss_increase_std
3,A,a_grad_norm,9,0.004666672812567817,0.008930274307782428,-0.000582330756717258,0.021039632885945594,1.3245476616753471e-08,0.009899495430347441,-0.0022518899705674914,0.02030037949755399
7,A,a_grad_norm,9,0.010000010331471762,0.01106797269920245,-0.0008692079120212131,0.019533483103506607,0.0028888914320203993,0.011185313468750626,-0.0035352508227030435,0.019846356520277615
14,A,a_grad_norm,9,0.004111117786831326,0.01110678448400829,0.003925965891944038,0.03471274148834894,0.0008888906902737088,0.014075204355085873,-0.003273612923092312,0.038161005133681675
3,B,b_param_hutch,9,0.002000007364484999,0.006964197553547393,-0.0010706318749321832,0.007986858274979457,0.002444446086883545,0.008589404607051883,-0.0009179446432325575,0.009275636730563511
7,B,b_param_hutch,9,0.005888899167378743,0.006808893203638827,-0.004020531972249349,0.01837075750067441,-0.001777774757809109,0.007774589319519938,-0.007758471700880263,0.01826025885013768
14,B,b_param_hutch,9,0.014444450537363688,0.01276822929844072,0.009768823782602945,0.026897998090604305,0.0077777836057874895,0.016076205068240975,0.00022513336605495878,0.024993727377674132
3,B,b_param_lissa,9,0.0013333426581488715,0.005220151225853358,-0.003826094998253716,0.013692167624535215,0.0011111166742112902,0.010445636483994871,-0.004353761672973633,0.015557235941802378
7,B,b_param_lissa,9,0.011888894769880507,0.01057643595101256,0.002566834290822347,0.02323761187509295,0.0024444593323601615,0.009368972557392002,-0.0005385345882839627,0.022719703651613122
14,B,b_param_lissa,9,0.005111124780442979,0.0074404887429030155,0.0010528829362657336,0.034900765981192905,-0.0013333360354105632,0.009848856579316325,-0.008011718591054281,0.03967496558191337
3,control,degree,9,0.0036666658189561632,0.00689202573099467,0.005318575435214573,0.01772648703000243,0.0013333360354105632,0.012000000725222162,0.003947913646697998,0.019576130566246526
7,control,degree,9,0.006444440947638618,0.011980306455622248,0.01433407598071628,0.02464835406107768,-0.0015555553966098363,0.012914270820774036,0.009921563996209038,0.02714967960078387
14,control,degree,9,0.020111130343543157,0.013383238724859655,0.04378609524832831,0.037768253110269705,0.010444455676608615,0.023765069473949248,0.03760248422622681,0.04602451598753265
3,C-GIF,gt_full,9,0.0038889050483703613,0.005925472298708185,0.0005847281879848904,0.01565407804906695,-0.0008888840675354004,0.010252357540053719,-0.0002254115210639106,0.014446609027910791
7,C-GIF,gt_full,9,0.008222235573662652,0.008181953300190626,0.0051678551567925345,0.02440127250151815,0.00688889291551378,0.011709444506927855,0.011773738596174452,0.024260911886640823
14,C-GIF,gt_full,9,0.02533333831363254,0.012359210941216163,0.03619601329167684,0.020154361817490845,0.028444442484113906,0.012073846635841864,0.04424683915244208,0.020874968833616437
3,C-IF,gt_simple,9,0.0037777887450324166,0.009896679338860893,0.011164406935373941,0.017820366219097612,-0.0006666647063361274,0.00848529798481183,0.012682947847578261,0.01842758651938696
7,C-IF,gt_simple,9,0.01644444465637207,0.017052200125910136,0.028643290201822918,0.02233811106891731,0.012444449795616997,0.0178263367233563,0.036000596152411565,0.027354173525880904
14,C-IF,gt_simple,9,0.04344445466995239,0.030777871493750646,0.06985719998677571,0.043987350794195836,0.04311111238267687,0.03638836308267244,0.07907005813386705,0.05232700606868373
3,legacy,legacy,9,0.0011111232969495985,0.00645066593603239,-0.000229795773824056,0.020687827844158985,0.00022223260667588975,0.012306272910407883,-0.0012185043758816188,0.016486664120315884
7,legacy,legacy,9,0.02144446637895372,0.016148607681831094,0.021874076790279813,0.023805648453239125,0.018000006675720215,0.01774823165872495,0.02263919512430827,0.024124472790849377
14,legacy,legacy,9,0.0780000024371677,0.06969756230209959,0.09673768944210476,0.08909972867054534,0.07644444704055786,0.0596890097633032,0.10450612836413914,0.08716348346820371
3,C-GIF,p_graph,9,0.0050000084771050345,0.006144109858256944,-0.00041862991121080186,0.010683249117662542,-0.0011111100514729817,0.01082177592154106,-0.0014530685212877062,0.009064271039856533
7,C-GIF,p_graph,9,0.007111118899451362,0.009505832978405368,0.007970366213056777,0.021795364246820097,0.008222235573662652,0.00940448207164047,0.012728916274176704,0.02334456134375187
14,C-GIF,p_graph,9,0.025777783658769395,0.010974719240397146,0.03611883189943102,0.025063041226183125,0.03000001112620036,0.012767135026553144,0.04578689071867201,0.02569837102010853
3,C-point,p_point,9,0.013444450166490342,0.007891609492302767,0.022598498397403292,0.016765519358676765,0.007555557621849908,0.013739655826866422,0.015998078717125788,0.015612134406407173
7,C-point,p_point,9,0.04211111201180352,0.014084063500703542,0.0722429288758172,0.03761062729751045,0.033111115296681724,0.019751218425568193,0.061590333779652916,0.033237538184007626
