budget,common_fraction,dataset,intersection,jaccard,kendall,left,right,seed,sign_agreement,spearman
3,0.3333333333333333,CiteSeer,1,0.2,0.660176495307466,a_grad_norm,b_param_lissa,2024,1.0,0.8461623937856579
7,0.42857142857142855,CiteSeer,3,0.2727272727272727,0.660176495307466,a_grad_norm,b_param_lissa,2024,1.0,0.8461623937856579
14,0.7142857142857143,CiteSeer,10,0.5555555555555556,0.660176495307466,a_grad_norm,b_param_lissa,2024,1.0,0.8461623937856579
3,0.6666666666666666,CiteSeer,2,0.5,0.7996918335901386,b_param_hutch,b_param_lissa,2024,1.0,0.9398914504182597
7,0.8571428571428571,CiteSeer,6,0.75,0.7996918335901386,b_param_hutch,b_param_lissa,2024,1.0,0.9398914504182597
14,0.8571428571428571,CiteSeer,12,0.75,0.7996918335901386,b_param_hutch,b_param_lissa,2024,1.0,0.9398914504182597
3,0.3333333333333333,CiteSeer,1,0.2,0.043000210204196025,b_param_lissa,gt_full,2024,0.49166666666666664,0.06867155474618787
7,0.2857142857142857,CiteSeer,2,0.16666666666666666,0.043000210204196025,b_param_lissa,gt_full,2024,0.49166666666666664,0.06867155474618787
14,0.42857142857142855,CiteSeer,6,0.2727272727272727,0.043000210204196025,b_param_lissa,gt_full,2024,0.49166666666666664,0.06867155474618787
3,0.0,CiteSeer,0,0.0,-0.023812859177447927,gt_simple,gt_full,2024,0.49166666666666664,-0.03356841991971041
7,0.0,CiteSeer,0,0.0,-0.023812859177447927,gt_simple,gt_full,2024,0.49166666666666664,-0.03356841991971041
14,0.07142857142857142,CiteSeer,1,0.037037037037037035,-0.023812859177447927,gt_simple,gt_full,2024,0.49166666666666664,-0.03356841991971041
3,0.0,CiteSeer,0,0.0,0.4038097915918474,r_point,gt_full,2024,0.725,0.537774390191779
7,0.2857142857142857,CiteSeer,2,0.16666666666666666,0.4038097915918474,r_point,gt_full,2024,0.725,0.537774390191779
14,0.35714285714285715,CiteSeer,5,0.21739130434782608,0.4038097915918474,r_point,gt_full,2024,0.725,0.537774390191779
3,1.0,CiteSeer,3,1.0,0.9246393052248214,p_point,r_point,2024,0.9416666666666667,0.9871796207362343
7,0.8571428571428571,CiteSeer,6,0.75,0.9246393052248214,p_point,r_point,2024,0.9416666666666667,0.9871796207362343
14,1.0,CiteSeer,14,1.0,0.9246393052248214,p_point,r_point,2024,0.9416666666666667,0.9871796207362343
3,0.3333333333333333,CiteSeer,1,0.2,0.9338750350238162,p_simple,gt_simple,2024,0.9833333333333333,0.9918952142177526
7,0.5714285714285714,CiteSeer,4,0.4,0.9338750350238162,p_simple,gt_simple,2024,0.9833333333333333,0.9918952142177526
14,1.0,CiteSeer,14,1.0,0.9338750350238162,p_simple,gt_simple,2024,0.9833333333333333,0.9918952142177526
3,1.0,CiteSeer,3,1.0,0.9271708683473389,p_graph,gt_full,2024,0.9416666666666667,0.9900062504340579
7,0.8571428571428571,CiteSeer,6,0.75,0.9271708683473389,p_graph,gt_full,2024,0.9416666666666667,0.9900062504340579
14,0.9285714285714286,CiteSeer,13,0.8666666666666667,0.9271708683473389,p_graph,gt_full,2024,0.9416666666666667,0.9900062504340579
3,0.6666666666666666,CiteSeer,2,0.5,0.8467572489144137,tracin_cp_point_3,r_point,2024,0.8916666666666667,0.9597262300376069
7,0.7142857142857143,CiteSeer,5,0.5555555555555556,0.8467572489144137,tracin_cp_point_3,r_point,2024,0.8916666666666667,0.9597262300376069
