Phase,Method,Strategy,F1_Drop_Mean,F1_Drop_Std,P_Value_vs_Random,N_Seeds,MIA_AUC_Mean
mg0,GNNDelete,hybrid,12.27,2.310000000000001,1.0,2,0.57935
mg0,GNNDelete,im,9.225,5.165,1.0,2,0.5898000000000001
mg0,GNNDelete,pagerank,10.832857142857142,2.6408749323213443,0.032790366315476105,7,0.5887
mg0,GNNDelete,tracin,8.464285714285715,1.7737197164865315,,7,0.5932428571428571
mg0,GNNDelete,random,8.464285714285715,1.7737197164865315,1.0,7,0.5932714285714287
mg0,GNNDelete,degree,7.540000000000001,2.3729126165356966,0.4549644317067342,7,0.5838714285714286
mg0,GNNDelete,im_v4,12.324000000000002,5.600827081779976,1.0,5,0.81892
mg0,GNNDelete,hybrid_v4,11.251999999999999,4.911221436669293,1.0,5,0.82424
mg0,GIF,pagerank,1.6099999999999999,0.5276903854128318,0.11834584345410307,7,0.5937714285714286
mg0,GIF,tracin,1.32,0.497680333432731,,7,0.5926142857142856
mg0,GIF,random,1.32,0.497680333432731,1.0,7,0.5925857142857144
mg0,GIF,hybrid,1.5699999999999998,0.08999999999999997,1.0,2,0.5919000000000001
mg0,GIF,im,1.5650000000000002,0.6450000000000001,1.0,2,0.5951
mg0,GIF,degree,1.3171428571428572,0.6123424412092652,0.9949447662136663,7,0.5946714285714286
mg0,GIF,im_v4,2.176,0.6944523021777667,1.0,5,0.6132
mg0,GIF,hybrid_v4,2.474,1.1707194369275673,1.0,5,0.6148
mg0,GraphEraser,hybrid,-3.965,1.385,1.0,2,0.0
mg0,GraphEraser,im,-5.44,1.2,1.0,2,0.0
mg0,GraphEraser,pagerank,-6.588571428571428,2.4202622559869624,0.7803079113896055,7,0.0
mg0,GraphEraser,degree,-5.668571428571427,2.1758179320589734,0.49270411359167643,7,0.0
mg0,GraphEraser,tracin,-6.168571428571429,1.8421526892774784,,7,0.0
mg0,GraphEraser,random,-6.168571428571429,1.8421526892774784,1.0,7,0.0
mg0,GraphEraser,hybrid_v4,-2.1399999999999997,3.2225393713653827,1.0,5,0.0
mg0,GraphEraser,im_v4,-3.098,2.39091112340045,1.0,5,0.0
mg0,GUIDE,tracin,-7.571428571428572,3.5618150612591113,0.619777710524704,7,0.9853714285714286
mg0,GUIDE,random,-6.564285714285714,3.148468367512129,1.0,7,0.9851571428571428
mg0,GUIDE,pagerank,-8.701428571428572,2.338573610261658,0.10111623267562814,7,0.9860142857142856
mg0,GUIDE,hybrid,-10.705,2.685,1.0,2,0.9856
mg0,GUIDE,im,-11.88,3.19,1.0,2,0.98475
mg0,GUIDE,degree,-10.440000000000001,3.758787798517723,0.14405046011008846,7,0.9855
mg0,GUIDE,hybrid_v4,-6.496,3.2474765588068535,1.0,5,0.9853799999999999
mg0,GUIDE,im_v4,-7.049999999999999,3.325465380965497,1.0,5,0.9853400000000001
mg1,GIF,degree,2.73,0.6667833231267861,0.7569098350713521,5,0.59474
mg1,GIF,random,2.88,0.5564171097297421,1.0,5,0.59636
mg1,GIF,im_v4,2.4299999999999997,0.3203123475609393,0.051979694201925955,5,0.6031799999999999
mg1,GIF,hybrid_v4,2.0399999999999996,0.5073460357586329,0.0296170310618366,5,0.6022
mg1,GIF,pagerank,2.88,0.5644466316668034,0.9999999999999998,5,0.5945
mg1,GIF,tracin,2.46,0.5161395160225577,0.20563995895070894,5,0.5956400000000001
mg1,GNNDelete,im_v4,-19.340000000000003,1.6981166037701882,,5,0.0
mg1,GNNDelete,hybrid_v4,-19.340000000000003,1.6981166037701882,,5,0.0
mg1,GNNDelete,random,-19.340000000000003,1.6981166037701882,1.0,5,0.0
mg1,GNNDelete,degree,-19.340000000000003,1.6981166037701882,,5,0.0
mg1,GNNDelete,pagerank,-19.340000000000003,1.6981166037701882,,5,0.0
mg1,GNNDelete,tracin,-19.340000000000003,1.6981166037701882,,5,0.0
mg1,GraphEraser,pagerank,-8.859999999999998,2.984573671397642,0.965588112380356,5,0.0
mg1,GraphEraser,degree,-8.584,1.6879526059697292,0.7373364259690954,5,0.0
mg1,GraphEraser,hybrid_v4,-8.98,1.193984924527944,0.9525659047750239,5,0.0
mg1,GraphEraser,random,-8.948,1.037099802333411,1.0,5,0.0
mg1,GraphEraser,im_v4,-9.22,1.1208925015361642,0.2054796813731453,5,0.0
mg1,GraphEraser,tracin,-8.254,1.8023384809740928,0.4950147933486561,5,0.0
mg2,GIF,im_v4,6.752,0.5543789317786165,0.022486151862053286,5,0.40436000000000005
mg2,GIF,hybrid_v4,5.83,0.5295280917949494,0.050646008229989686,5,0.38952
mg2,GIF,random,4.723999999999999,0.8372239843673854,1.0,5,0.5535
mg2,GIF,degree,5.094,1.1023901305799142,0.711723320709735,5,0.5337799999999999
mg2,GIF,tracin,5.389999999999999,1.0116916526293966,0.2474611786678525,5,0.5300999999999999
mg2,GIF,pagerank,4.61,0.9360341874098401,0.8952103830444609,5,0.5403399999999999
mg2,GNNDelete,tracin,13.322000000000001,6.370743755637955,0.39103782006278986,5,0.5722
mg2,GNNDelete,degree,13.099999999999998,3.1294727990509843,0.1690024133053998,5,0.5810000000000001
mg2,GNNDelete,hybrid_v4,19.776,2.6878139816587017,0.00122480116147224,5,0.8633199999999999
mg2,GNNDelete,im_v4,17.343999999999998,2.7033209206455675,0.009093372502675159,5,0.86922
mg2,GNNDelete,pagerank,13.062000000000001,3.441728635438884,0.26290206299075175,5,0.5748
mg2,GNNDelete,random,9.520000000000001,3.646417419879408,1.0,5,0.5905800000000001
mg2,GraphEraser,hybrid_v4,-4.4639999999999995,1.6136492803580336,0.009312321519647233,5,0.0
mg2,GraphEraser,pagerank,-9.52,3.2237493699107564,1.0,5,0.0
mg2,GraphEraser,tracin,-9.852,2.3554566436256046,0.883176545183268,5,0.0
mg2,GraphEraser,im_v4,-4.502,2.9883199293248373,0.0067363534162532615,5,0.0
mg2,GraphEraser,degree,-9.447999999999999,1.6829188928763026,0.9510911388989692,5,0.0
mg2,GraphEraser,random,-9.52,2.2482348631759987,1.0,5,0.0
mg3_citeseer,IDEA,tracin,4.02,0.5801723881744115,0.4563157983413602,5,0.55298
mg3_citeseer,IDEA,random,4.409999999999999,0.6335613624582861,1.0,5,0.5491400000000001
mg3_citeseer,IDEA,im_v4,4.082,0.6769756273308516,0.1747893654562043,5,0.51998
mg3_citeseer,IDEA,hybrid_v4,3.4499999999999997,0.5449770637375485,0.08992551272730619,5,0.5254399999999999
mg3_citeseer,MEGU,tracin,2.9699999999999998,0.39572717874818764,0.14253642523625568,5,0.0
mg3_citeseer,MEGU,hybrid_v4,1.53,0.5316013544000806,0.15113747546212206,5,0.0
mg3_citeseer,MEGU,random,2.25,0.7035623639735143,1.0,5,0.0
mg3_citeseer,MEGU,im_v4,1.4100000000000001,0.5739337940912698,0.004635839417904416,5,0.0
mg3_gat,IDEA,hybrid_v4,5.902,0.66993731050002,0.11079410833737191,5,0.36024
mg3_gat,IDEA,im_v4,6.4559999999999995,0.332060235499525,0.01068654634448035,5,0.36488
mg3_gat,IDEA,random,5.128000000000001,0.4850319577100049,1.0,5,0.49648000000000003
mg3_gat,IDEA,tracin,5.095999999999999,1.1765474916041427,0.969275699263956,5,0.49901999999999996
mg3_gat,MEGU,im_v4,1.1440000000000001,1.0302155114343796,0.8859516468925177,5,0.0
mg3_gat,MEGU,random,1.18,1.086388512457675,1.0,5,0.0
mg3_gat,MEGU,hybrid_v4,2.472,0.9124341072099397,0.16450626448570393,5,0.0
mg3_gat,MEGU,tracin,0.9240000000000002,0.8233249662192931,0.6349370395057652,5,0.0
ratio_sensitivity,GIF,hybrid_v4,2.73,0.7880609113514006,0.001541571499282428,20,0.616845
ratio_sensitivity,GIF,im_v4,2.6385,0.6333267324217413,0.0017542022600688977,20,0.6143050000000001
ratio_sensitivity,GIF,tracin,1.8724999999999998,0.7608671040332865,0.5206336626059083,20,0.60508
ratio_sensitivity,GIF,degree,2.5640000000000005,1.4052878708648986,0.03439870280614586,20,0.6019300000000001
ratio_sensitivity,GIF,random,1.7905,0.7687618291772816,1.0,20,0.602495
ratio_sensitivity,GIF,pagerank,2.6959999999999993,1.4302566203307714,0.020485788923682746,20,0.60071
ratio_sensitivity,GNNDelete,random,14.364499999999996,5.6291735405830226,1.0,20,0.6818250000000001
ratio_sensitivity,GNNDelete,pagerank,13.091,5.159576436104033,0.358957125288047,20,0.658245
ratio_sensitivity,GNNDelete,degree,12.518999999999997,5.776239174410977,0.07671753571627758,20,0.664655
ratio_sensitivity,GNNDelete,im_v4,14.841999999999999,4.063148532849864,0.7324955365661765,20,0.7087950000000001
ratio_sensitivity,GNNDelete,tracin,12.972000000000003,4.294659008582637,0.14203203486900476,20,0.76356
ratio_sensitivity,GNNDelete,hybrid_v4,14.77,4.023867542551569,0.7403377467386039,20,0.78289
p2_ext,GIF,pagerank,3.3589999999999995,1.641666531302871,0.026267812481978695,10,0.6384449999999999
p2_ext,GIF,degree,3.0620000000000003,1.5273886211439447,0.038668803540115156,10,0.638195
p2_ext,GIF,im_v4,2.769,0.4887218022556391,0.01572567368005506,10,0.6456600000000001
p2_ext,GIF,tracin,1.8080000000000003,0.5656818894042835,0.6439505237029561,10,0.642315
p2_ext,GIF,hybrid_v4,2.802,0.5954628451885138,0.004056976713896415,10,0.648185
p2_ext,GIF,random,1.698,0.7088836293779113,1.0,10,0.63954
