Method,Dataset,Model,Ratio,Strategy,Rel_F1_Drop_Mean,Rel_F1_Drop_Std,Retrain_Gap_Abs_Mean,MIA_AUC_Mean,P_Value,N_Seeds
GIF,citeseer,GAT,0.1,degree,-0.5396096096096104,1.092428487361986,1.2012012012011986,,0.17251915017487893,10
GIF,citeseer,GAT,0.1,hybrid_v4,-0.5996096096096104,0.6249799996799876,3.0030030030030064,,0.018230871681196515,10
GIF,citeseer,GAT,0.1,im_v4,0.0003903903903879069,0.9362691920596328,0.480480480480483,,0.9990292211452758,10
GIF,citeseer,GAT,0.1,pagerank,-1.3196096096096088,1.1871815362445628,0.4804804804804874,,0.008734274684728592,10
GIF,citeseer,GAT,0.1,random,-0.7796096096096106,0.7099295739719503,1.5915915915915901,,0.0010634829861012297,15
GIF,citeseer,GAT,0.1,tracin,-0.7196096096096127,1.0589617556833657,2.4324324324324387,,0.07192449239532997,10
GIF,citeseer,GAT,0.2,degree,-0.7196096096096105,1.2889530635364486,0.6606606606606635,,0.1282816926478329,10
GIF,citeseer,GAT,0.2,hybrid_v4,-0.8996096096096107,1.2200819644597636,4.534534534534536,,0.05426733156434953,10
GIF,citeseer,GAT,0.2,im_v4,-0.029609609609613226,0.7409453421137098,0.9909909909909809,,0.907207169224419,10
GIF,citeseer,GAT,0.2,pagerank,-1.559609609609609,1.0146920715172631,0.6006006006005937,,0.0012703438096658692,10
GIF,citeseer,GAT,0.2,random,-0.6596096096096127,0.25806975801127746,1.7417417417417358,,1.619148928090483e-07,15
GIF,citeseer,GAT,0.2,tracin,-0.4796096096096103,1.1104053313993043,6.6666666666666625,,0.2272988323971923,10
GIF,citeseer,GCN,0.05,hybrid_v4,0.09090090090089653,0.33674916480965644,1.261261261261264,,0.6179367632702204,5
GIF,citeseer,GCN,0.05,im_v4,0.09090090090089653,0.24372115213907958,0.6906906906906851,,0.49715354123170014,5
GIF,citeseer,GCN,0.05,random,0.540900900900898,0.4199999999999998,0.4204204204204265,,0.06160533650379455,5
GIF,citeseer,GCN,0.05,tracin,0.36090090090089566,0.1749285568453607,0.7507507507507549,,0.014538025514475708,5
GIF,citeseer,GCN,0.1,degree,0.0009009009008975611,0.1469693845669895,0.6006006006006048,,0.9820251726957507,15
GIF,citeseer,GCN,0.1,hybrid_v4,-0.17909909909910038,0.27820855486486923,2.822822822822828,,0.03035725982826712,15
GIF,citeseer,GCN,0.1,im_v4,0.1809009009008955,0.21213203435596445,0.21021021021021105,,0.006539196832499745,15
GIF,citeseer,GCN,0.1,pagerank,-0.05909909909910027,0.46086874487211593,0.6006006006005982,,0.6387733514740997,15
GIF,citeseer,GCN,0.1,random,0.030900900900898698,0.39115214431215667,1.4114114114114096,,0.7343638594291151,20
GIF,citeseer,GCN,0.1,tracin,-0.029099099099105796,0.17999999999999866,1.5315315315315359,,0.5549351348313261,15
GIF,citeseer,GCN,0.2,degree,0.0009009009008975611,0.1469693845669895,0.72072072072072,,0.9820251726957507,15
GIF,citeseer,GCN,0.2,hybrid_v4,-0.17909909909910038,0.27820855486486923,5.135135135135139,,0.03035725982826712,15
GIF,citeseer,GCN,0.2,im_v4,0.1809009009008955,0.21213203435596445,1.4414414414414445,,0.006539196832499745,15
GIF,citeseer,GCN,0.2,pagerank,-0.05909909909910027,0.46086874487211593,0.7807807807807832,,0.6387733514740997,15
GIF,citeseer,GCN,0.2,random,0.030900900900898698,0.39115214431215667,1.201201201201203,,0.7343638594291151,20
GIF,citeseer,GCN,0.2,tracin,-0.029099099099105796,0.17999999999999866,5.675675675675675,,0.5549351348313261,15
GIF,citeseer,GIN,0.1,degree,-1.5218768768768751,0.7069213660462722,0.8070570570570534,,0.0007385237464865809,8
GIF,citeseer,GIN,0.1,hybrid_v4,-1.4843768768768721,0.8983803194657356,3.885135135135137,,0.0032679868660458375,8
GIF,citeseer,GIN,0.1,im_v4,-1.1656268768768754,1.1085166284874048,0.8633633633633717,,0.027217477061165084,8
GIF,citeseer,GIN,0.1,pagerank,-1.6156268768768731,0.8994602327105335,1.0510510510510551,,0.0020778414289045213,8
GIF,citeseer,GIN,0.1,random,-0.7978124278124242,0.6118613903770159,1.0857010857010816,,0.000705623262620607,13
GIF,citeseer,GIN,0.1,tracin,-0.8281268768768766,1.452947258937743,2.8528528528528536,,0.17529332652001872,8
GIF,citeseer,GIN,0.2,degree,-1.4565293865293847,0.7327800342801927,0.6864006864006836,,0.0027977977440431932,7
GIF,citeseer,GIN,0.2,hybrid_v4,-1.392243672243668,0.9243793325447978,7.636207636207636,,0.010217557774196109,7
GIF,citeseer,GIN,0.2,im_v4,-1.092243672243671,1.1667358386675741,2.65980265980266,,0.06168141401053006,7
GIF,citeseer,GIN,0.2,pagerank,-1.5208151008150967,0.9234121816503756,1.0510510510510471,,0.00684765732274081,7
GIF,citeseer,GIN,0.2,random,-0.8368543543543503,0.621093139624192,1.8018018018018012,,0.0009487941849797574,12
GIF,citeseer,GIN,0.2,tracin,-0.5993865293865285,1.4189234193629903,6.928356928356931,,0.3406899135207081,7
GIF,cora,GAT,0.05,hybrid_v4,2.5116531365313666,0.5769367382997903,0.8487084870848705,,0.0009581800336172261,5
GIF,cora,GAT,0.05,im_v4,3.5416531365313664,0.3566735201833729,1.771217712177122,,3.79301844481571e-05,5
GIF,cora,GAT,0.05,random,1.585653136531364,0.6528215682711477,0.7380073800737996,,0.008292202859835765,5
GIF,cora,GAT,0.05,tracin,1.7716531365313637,0.6524844825741063,0.4428044280442789,,0.005578084493772316,5
GIF,cora,GAT,0.1,degree,6.237653136531365,0.9761270409121982,0.8487084870848705,,1.3187243399213784e-08,10
GIF,cora,GAT,0.1,hybrid_v4,1.9556531365313636,1.2301447069349178,0.9594095940959413,,0.0010163256913392545,10
GIF,cora,GAT,0.1,im_v4,3.319653136531364,0.7264323781330255,0.9225092250922561,,2.457946086589208e-07,10
GIF,cora,GAT,0.1,pagerank,6.753653136531364,1.6233422313240056,1.2546125461254554,,5.505423176098736e-07,10
GIF,cora,GAT,0.1,random,1.8456531365313666,1.1596620197281637,0.8856088560885622,,3.517011690538593e-05,15
GIF,cora,GAT,0.1,tracin,2.657653136531364,0.7989142632348,2.1033210332103303,,3.6391335601790024e-06,10
GIF,cora,GAT,0.2,degree,1.587653136531364,1.1139048433326766,0.5166051660516668,,0.0020623074983608263,10
GIF,cora,GAT,0.2,hybrid_v4,1.8836531365313647,1.3263031327716894,1.3653136531365329,,0.0021090213677526313,10
GIF,cora,GAT,0.2,im_v4,1.2556531365313628,1.0621374675624622,0.6642066420664183,,0.006249263490172949,10
GIF,cora,GAT,0.2,pagerank,1.587653136531364,0.4100536550257756,1.1808118081180852,,1.0156943809300615e-06,10
GIF,cora,GAT,0.2,random,1.881653136531365,0.9586532219734089,0.9963099630996308,,3.6525144465480408e-06,15
GIF,cora,GAT,0.2,tracin,2.5496531365313646,0.6237178849447864,4.981549815498152,,6.397939113027361e-07,10
GIF,cora,GCN,0.05,hybrid_v4,1.5144797047970449,0.9529239214124062,0.664206642066425,,0.03358030417216598,5
GIF,cora,GCN,0.05,im_v4,1.5864797047970436,0.7107911085544042,1.2546125461254642,,0.011126100011109898,5
GIF,cora,GCN,0.05,random,0.6284797047970425,0.5292409659125056,0.36900369003690425,,0.07640191690374312,5
GIF,cora,GCN,0.05,tracin,4.318479704797045,0.2530138336138978,1.9926199261992663,,4.393435576904192e-06,5
GIF,cora,GIN,0.1,degree,2.4720369003690035,1.2626226673080148,0.7749077490774914,,0.00023670967920966753,10
GIF,cora,GIN,0.1,hybrid_v4,0.03603690036900309,1.008019841074568,1.3284132841328433,,0.9169429625841194,10
GIF,cora,GIN,0.1,im_v4,1.2540369003690022,0.9357264557551007,0.6273062730627332,,0.003015680741758421,10
GIF,cora,GIN,0.1,pagerank,4.4660369003690015,2.4986204193514463,0.29520295202952074,,0.00045499544738943336,10
GIF,cora,GIN,0.1,random,-0.2959630996309981,1.243183011466936,0.8118081180811809,,0.3881038106264265,15
GIF,cora,GIN,0.1,tracin,-1.7339630996309954,1.1852864632653166,2.029520295202951,,0.001748805688684592,10
GIF,cora,GIN,0.2,degree,-1.3659630996310002,1.0859208074256606,0.8487084870848705,,0.004391688021530391,10
GIF,cora,GIN,0.2,hybrid_v4,0.03603690036900309,1.008019841074568,6.678966789667899,,0.9169429625841194,10
GIF,cora,GIN,0.2,im_v4,0.11003690036900382,1.5319791121291444,0.9963099630996352,,0.8341972122991771,10
GIF,cora,GIN,0.2,pagerank,0.6260369003690047,1.435515238511944,0.8118081180811809,,0.22318958426598903,10
GIF,cora,GIN,0.2,random,0.8500369003690023,0.5071094556404931,0.7380073800737996,,2.04980325047506e-05,15
GIF,cora,GIN,0.2,tracin,-0.1099630996309986,1.059735816135322,4.428044280442802,,0.762666955767668,10
GNNDelete,citeseer,GCN,0.05,hybrid_v4,0.7218318318318273,0.8777243302996642,3.1531531531531583,,0.17536035585665186,5
GNNDelete,citeseer,GCN,0.05,im_v4,0.12183183183182678,1.2281693694275195,0.6306306306306286,,0.8524108250304916,5
