Phase,Method,Strategy,F1_Drop_Mean,F1_Drop_Std,P_Value_vs_Random,N_Seeds,MIA_AUC_Mean
mg0,GNNDelete,hybrid,12.27,2.310000000000001,1.0,2,0.57935
mg0,GNNDelete,im,9.225,5.165,1.0,2,0.5898000000000001
mg0,GNNDelete,pagerank,10.832857142857142,2.6408749323213443,0.032790366315476105,7,0.5887
mg0,GNNDelete,tracin,8.464285714285715,1.7737197164865315,,7,0.5932428571428571
mg0,GNNDelete,random,8.464285714285715,1.7737197164865315,1.0,7,0.5932714285714287
mg0,GNNDelete,degree,7.540000000000001,2.3729126165356966,0.4549644317067342,7,0.5838714285714286
mg0,GNNDelete,im_v4,12.324000000000002,5.600827081779976,1.0,5,0.81892
mg0,GNNDelete,hybrid_v4,11.251999999999999,4.911221436669293,1.0,5,0.82424
mg0,GIF,pagerank,1.6099999999999999,0.5276903854128318,0.11834584345410307,7,0.5937714285714286
mg0,GIF,tracin,1.32,0.497680333432731,,7,0.5926142857142856
mg0,GIF,random,1.32,0.497680333432731,1.0,7,0.5925857142857144
mg0,GIF,hybrid,1.5699999999999998,0.08999999999999997,1.0,2,0.5919000000000001
mg0,GIF,im,1.5650000000000002,0.6450000000000001,1.0,2,0.5951
mg0,GIF,degree,1.3171428571428572,0.6123424412092652,0.9949447662136663,7,0.5946714285714286
mg0,GIF,im_v4,2.176,0.6944523021777667,1.0,5,0.6132
mg0,GIF,hybrid_v4,2.474,1.1707194369275673,1.0,5,0.6148
mg0,GraphEraser,hybrid,-3.965,1.385,1.0,2,0.0
mg0,GraphEraser,im,-5.44,1.2,1.0,2,0.0
mg0,GraphEraser,pagerank,-6.588571428571428,2.4202622559869624,0.7803079113896055,7,0.0
mg0,GraphEraser,degree,-5.668571428571427,2.1758179320589734,0.49270411359167643,7,0.0
mg0,GraphEraser,tracin,-6.168571428571429,1.8421526892774784,,7,0.0
mg0,GraphEraser,random,-6.168571428571429,1.8421526892774784,1.0,7,0.0
mg0,GraphEraser,hybrid_v4,-2.1399999999999997,3.2225393713653827,1.0,5,0.0
mg0,GraphEraser,im_v4,-3.098,2.39091112340045,1.0,5,0.0
mg0,GUIDE,tracin,-7.571428571428572,3.5618150612591113,0.619777710524704,7,0.9853714285714286
mg0,GUIDE,random,-6.564285714285714,3.148468367512129,1.0,7,0.9851571428571428
mg0,GUIDE,pagerank,-8.701428571428572,2.338573610261658,0.10111623267562814,7,0.9860142857142856
mg0,GUIDE,hybrid,-10.705,2.685,1.0,2,0.9856
mg0,GUIDE,im,-11.88,3.19,1.0,2,0.98475
mg0,GUIDE,degree,-10.440000000000001,3.758787798517723,0.14405046011008846,7,0.9855
mg0,GUIDE,hybrid_v4,-6.496,3.2474765588068535,1.0,5,0.9853799999999999
mg0,GUIDE,im_v4,-7.049999999999999,3.325465380965497,1.0,5,0.9853400000000001
