dataset,budget_ratio,selector,reference,n_paired_training_seeds,test_accuracy_difference_pp,paired_sample_sd_pp,lower/equal/higher
Cora,0.01,degree,degree,3,0.0,0.0,equal
Cora,0.01,degree,random,3,0.0,0.4881459983514044,equal
Cora,0.01,gt_full,degree,3,0.06150061500614923,0.5326109494369266,higher
Cora,0.01,gt_full,random,3,0.06150061500614923,0.4260887595495335,higher
Cora,0.01,gt_full_all_trainable,degree,3,-0.12300123001230216,0.5636624471040378,lower
Cora,0.01,gt_full_all_trainable,random,3,-0.12300123001230216,0.5930904527055898,lower
Cora,0.01,gt_full_all_trainable_hops3,degree,3,0.0,0.6391331393243099,equal
Cora,0.01,gt_full_all_trainable_hops3,random,3,0.0,0.4881459983513939,equal
Cora,0.01,gt_full_sgc_all_trainable_hops3,degree,3,0.0,0.5535055350553542,equal
Cora,0.01,gt_full_sgc_all_trainable_hops3,random,3,0.0,0.18450184501844769,equal
Cora,0.01,gt_simple,degree,3,-0.18450184501844769,0.4881459983514044,lower
Cora,0.01,gt_simple,random,3,-0.18450184501844769,0.31956656966215014,lower
Cora,0.01,p_graph,degree,3,-0.06150061500614923,0.4643194609637655,lower
Cora,0.01,p_graph,random,3,-0.06150061500614923,0.21304437977476676,lower
Cora,0.01,p_point,degree,3,-0.36900369003690275,0.3690036900369009,lower
Cora,0.01,p_point,random,3,-0.36900369003690275,0.18450184501844769,lower
Cora,0.01,r_point,degree,3,-0.430504305043052,0.42608875954954634,lower
Cora,0.01,r_point,random,3,-0.430504305043052,0.38407121761367863,lower
Cora,0.01,random,degree,3,0.0,0.4881459983514044,equal
Cora,0.01,random,random,3,0.0,0.0,equal
Cora,0.05,degree,degree,3,0.0,0.0,equal
Cora,0.05,degree,random,3,0.24600246002459691,0.28183122355201584,higher
Cora,0.05,gt_full,degree,3,-0.6150061500615034,0.5636624471040427,lower
Cora,0.05,gt_full,random,3,-0.3690036900369065,0.8454936706560585,lower
Cora,0.05,gt_full_all_trainable,degree,3,0.2460024600246006,0.4643194609637603,higher
Cora,0.05,gt_full_all_trainable,random,3,0.49200492004919755,0.6985127116605472,higher
Cora,0.05,gt_full_all_trainable_hops3,degree,3,0.0,0.18450184501844769,equal
