dataset,selector,selector_ref,budget_ratio,n_training_seeds,training_seeds,test_accuracy_after_mean_percent,test_accuracy_after_sample_sd_pp
CiteSeer,degree,degree.yaml,0.01,3,42;212;2024,74.87487487487488,0.7557391827097846
CiteSeer,degree,degree.yaml,0.05,3,42;212;2024,75.17517517517517,0.6068246072563611
CiteSeer,degree,degree.yaml,0.1,3,42;212;2024,75.02502502502503,0.5684592938739031
CiteSeer,degree,degree.yaml,0.15,3,42;212;2024,75.42542542542543,0.08668922960805317
CiteSeer,gt_full,gt_full.yaml,0.01,3,42;212;2024,75.52552552552552,0.7945199132326108
CiteSeer,gt_full,gt_full.yaml,0.05,3,42;212;2024,75.97597597597597,0.3972599566163065
CiteSeer,gt_full,gt_full.yaml,0.1,3,42;212;2024,74.82482482482483,1.504001922053725
CiteSeer,gt_full,gt_full.yaml,0.15,3,42;212;2024,73.97397397397397,0.08668922960805317
CiteSeer,gt_full_all_trainable,gt_full_all_trainable.yaml,0.01,3,42;212;2024,75.62562562562563,0.5273099976402795
CiteSeer,gt_full_all_trainable,gt_full_all_trainable.yaml,0.05,3,42;212;2024,75.47547547547548,0.5684592938739031
CiteSeer,gt_full_all_trainable,gt_full_all_trainable.yaml,0.1,3,42;212;2024,75.37537537537537,0.6006006006005982
CiteSeer,gt_full_all_trainable,gt_full_all_trainable.yaml,0.15,3,42;212;2024,75.02502502502503,0.22935814289067993
CiteSeer,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.01,3,42;212;2024,75.62562562562563,0.5273099976402795
CiteSeer,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.05,3,42;212;2024,75.57557557557557,0.22935814289067993
CiteSeer,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.1,3,42;212;2024,75.47547547547548,0.5684592938739031
CiteSeer,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.15,3,42;212;2024,75.27527527527528,0.22935814289068598
CiteSeer,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.01,3,42;212;2024,75.07507507507508,0.9009009009008973
CiteSeer,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.05,3,42;212;2024,74.22422422422422,0.8668922960805188
CiteSeer,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.1,3,42;212;2024,74.02402402402403,0.7945199132326108
CiteSeer,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.15,3,42;212;2024,74.17417417417417,0.541374065384985
CiteSeer,gt_simple,gt_simple.yaml,0.01,3,42;212;2024,75.07507507507508,0.541374065384985
CiteSeer,gt_simple,gt_simple.yaml,0.05,3,42;212;2024,75.92592592592592,0.37786959135489195
CiteSeer,gt_simple,gt_simple.yaml,0.1,3,42;212;2024,75.22522522522522,0.6006006006005982
CiteSeer,gt_simple,gt_simple.yaml,0.15,3,42;212;2024,75.02502502502503,0.3125624623823005
CiteSeer,p_graph,p_graph.yaml,0.01,3,42;212;2024,75.47547547547548,0.7557391827097846
CiteSeer,p_graph,p_graph.yaml,0.05,3,42;212;2024,75.72572572572572,0.7095819258637527
CiteSeer,p_graph,p_graph.yaml,0.1,3,42;212;2024,74.72472472472472,1.1269599849046745
CiteSeer,p_graph,p_graph.yaml,0.15,3,42;212;2024,73.82382382382382,0.22935814289068598
CiteSeer,p_point,p_point.yaml,0.01,3,42;212;2024,75.62562562562563,0.6068246072563662
CiteSeer,p_point,p_point.yaml,0.05,3,42;212;2024,75.42542542542543,0.7557391827097846
CiteSeer,p_point,p_point.yaml,0.1,3,42;212;2024,75.02502502502503,0.953581525688572
CiteSeer,p_point,p_point.yaml,0.15,3,42;212;2024,73.92392392392392,0.17337845921610634
CiteSeer,r_point,r_point.yaml,0.01,3,42;212;2024,75.47547547547548,0.08668922960805317
CiteSeer,r_point,r_point.yaml,0.05,3,42;212;2024,75.27527527527528,0.999748966738645
CiteSeer,r_point,r_point.yaml,0.1,3,42;212;2024,74.92492492492492,0.9376873871469034
CiteSeer,r_point,r_point.yaml,0.15,3,42;212;2024,73.92392392392392,0.6770645274508837
CiteSeer,random,random.yaml,0.01,3,42;212;2024,75.07507507507508,0.836000655079578
CiteSeer,random,random.yaml,0.05,3,42;212;2024,74.77477477477478,0.15015015015015232
CiteSeer,random,random.yaml,0.1,3,42;212;2024,74.77477477477478,0.688074428672047
CiteSeer,random,random.yaml,0.15,3,42;212;2024,74.52452452452452,0.4334461480402594
Cora,degree,degree.yaml,0.01,3,42;212;2024,90.09840098400984,0.46431946096376553
Cora,degree,degree.yaml,0.05,3,42;212;2024,89.85239852398524,0.18450184501845324
Cora,degree,degree.yaml,0.1,3,42;212;2024,89.97539975399754,0.10652218988738338
Cora,degree,degree.yaml,0.15,3,42;212;2024,89.72939729397294,0.2818312235520219
Cora,gt_full,gt_full.yaml,0.01,3,42;212;2024,90.159901599016,0.21304437977476676
Cora,gt_full,gt_full.yaml,0.05,3,42;212;2024,89.23739237392374,0.4643194609637603
Cora,gt_full,gt_full.yaml,0.1,3,42;212;2024,89.79089790897909,0.2818312235520219
Cora,gt_full,gt_full.yaml,0.15,3,42;212;2024,88.62238622386224,0.8521775190990798
Cora,gt_full_all_trainable,gt_full_all_trainable.yaml,0.01,3,42;212;2024,89.97539975399754,0.3840712176136769
Cora,gt_full_all_trainable,gt_full_all_trainable.yaml,0.05,3,42;212;2024,90.09840098400984,0.2818312235520159
Cora,gt_full_all_trainable,gt_full_all_trainable.yaml,0.1,3,42;212;2024,89.79089790897909,0.2818312235520219
Cora,gt_full_all_trainable,gt_full_all_trainable.yaml,0.15,3,42;212;2024,89.0528905289053,0.946789933477289
Cora,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.01,3,42;212;2024,90.09840098400984,0.2818312235520159
Cora,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.05,3,42;212;2024,89.85239852398524,0.18450184501845324
Cora,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.1,3,42;212;2024,89.72939729397295,0.21304437977477317
Cora,gt_full_all_trainable_hops3,gt_full_all_trainable_hops3.yaml,0.15,3,42;212;2024,89.23739237392374,0.92863892192752
Cora,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.01,3,42;212;2024,90.09840098400984,0.10652218988738338
Cora,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.05,3,42;212;2024,89.85239852398523,0.48814599835140016
Cora,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.1,3,42;212;2024,89.23739237392374,0.4643194609637603
Cora,gt_full_sgc_all_trainable_hops3,gt_full_sgc_all_trainable_hops3.yaml,0.15,3,42;212;2024,88.37638376383764,0.48814599835139805
Cora,gt_simple,gt_simple.yaml,0.01,3,42;212;2024,89.9138991389914,0.10652218988738338
Cora,gt_simple,gt_simple.yaml,0.05,3,42;212;2024,89.72939729397295,0.3840712176136787
