dataset,selector,n_selection_requests,P0_test_accuracy_percent_mean,P0_test_accuracy_percent_sample_sd,GNNDelete_test_accuracy_percent_mean,GNNDelete_test_accuracy_percent_sample_sd,Retrain_test_accuracy_percent_mean,Retrain_test_accuracy_percent_sample_sd,P0_minus_GU_pp_mean,P0_minus_GU_pp_sample_sd,P0_minus_Retrain_pp_mean,P0_minus_Retrain_pp_sample_sd,Retrain_minus_GU_pp_mean,Retrain_minus_GU_pp_sample_sd,update_detection_auc_mean,update_detection_auc_n
CiteSeer,degree,1,74.47447447447448,,73.12312312312312,,74.62462462462463,,1.3513513513513487,,-0.15015015015015232,,1.501501501501501,,0.7649004161712246,1
CiteSeer,im_celf,3,74.47447447447448,0.0,74.52452452452452,1.5189180085579124,73.92392392392392,0.3125624623823095,-0.050050050050050775,1.5189180085579124,0.5505505505505474,0.3125624623823067,-0.6006006006005982,1.826655414503977,0.7418035325009908,3
CiteSeer,random,3,74.47447447447448,0.0,75.67567567567568,0.3003003003003002,74.72472472472472,0.70958192586375,-1.2012012012012037,0.3003003003002991,-0.2502502502502539,0.7095819258637547,-0.9509509509509498,0.826962544637548,0.7732888674197385,3
CiteSeer,rr_1024,3,74.47447447447448,0.0,74.47447447447448,0.45045045045044674,75.77577577577578,0.879799591153497,-3.700743415417189e-15,0.4504504504504514,-1.3013013013013053,0.8797995911535008,1.3013013013013015,0.9174325715627271,0.7199700257629805,3
CiteSeer,rr_16384,3,74.47447447447448,0.0,73.77377377377378,0.5684592938739064,74.77477477477478,0.5201353776483072,0.700700700700696,0.5684592938739031,-0.3003003003003009,0.5201353776483062,1.0010010010009969,0.08668922960805638,0.6946374603646452,3
CiteSeer,rr_4096,3,74.47447447447448,0.0,75.27527527527528,0.7557391827097807,74.92492492492492,0.6880744286720486,-0.8008008008008013,0.7557391827097847,-0.45045045045045323,0.6880744286720519,-0.350350350350348,1.4427963268668282,0.7117333036068173,3
Cora,degree,1,90.22140221402213,,66.97416974169742,,90.03690036900369,,23.24723247232472,,0.18450184501844769,,23.062730627306273,,0.5924806136446348,1
Cora,im_celf,3,90.22140221402213,0.0,68.51168511685117,0.7681424352273573,89.4218942189422,0.38407121761367574,21.70971709717097,0.7681424352273569,0.7995079950799474,0.38407121761367863,20.910209102091024,0.4643194609637592,0.5895644952082342,3
Cora,random,3,90.22140221402213,0.0,75.83025830258302,1.917399417972927,90.15990159901598,0.4260887595495366,14.391143911439116,1.917399417972927,0.06150061500615293,0.42608875954953995,14.329643296432963,1.7438434045212567,0.6350279480790945,3
Cora,rr_1024,3,90.22140221402213,0.0,65.25215252152522,1.8664195455711603,89.79089790897909,0.9467899334772824,24.969249692496923,1.866419545571159,0.4305043050430483,0.946789933477289,24.538745387453876,2.311801491908058,0.6177411979881117,3
Cora,rr_16384,3,90.22140221402213,0.0,72.44772447724478,2.040671589549451,89.2988929889299,0.36900369003689804,17.773677736777362,2.0406715895494534,0.9225092250922532,0.3690036900369009,16.85116851168511,2.2165831846174813,0.5395705607345819,3
Cora,rr_4096,3,90.22140221402213,0.0,72.38622386223862,5.753184485945563,89.54489544895449,0.6985127116605486,17.835178351783515,5.753184485945563,0.676506765067649,0.6985127116605535,17.15867158671587,5.056158526215765,0.5498166344727191,3
PubMed,degree,1,88.56490872210954,,87.2210953346856,,88.71703853955376,,1.3438133874239422,,-0.15212981744421317,,1.4959432048681554,,0.36642512077294687,1
PubMed,im_celf,3,88.56490872210954,0.0,86.82386747802569,0.11982291141614461,88.43813387423936,0.11619106731632789,1.741041244083848,0.11982291141614215,0.12677484787018503,0.1161910673163261,1.6142663962136632,0.22725371297750033,0.508736259889379,3
PubMed,random,3,88.56490872210954,0.0,86.23225152129817,0.7058524800748035,88.61561866125761,0.1774847870182563,2.3326572008113646,0.7058524800747992,-0.05070993914807106,0.17748478701825848,2.383367139959436,0.5342623606923257,0.5285621017993418,3
PubMed,rr_1024,3,88.56490872210954,0.0,85.48850574712644,0.09599236554766487,88.35361730899257,0.089043726782056,3.076402974983102,0.09599236554767085,0.2112914131169726,0.08904372678205481,2.8651115618661294,0.1341658879850244,0.5268823076384512,3
PubMed,rr_16384,3,88.56490872210954,0.0,84.49121027721434,0.4819667826025402,88.31135902636917,0.26349657315956604,4.073698444895202,0.4819667826025438,0.2535496957403664,0.2634965731595681,3.820148749154835,0.7248742948746318,0.5071805643072184,3
PubMed,rr_4096,3,88.56490872210954,0.0,85.49695740365112,1.1051975008977346,88.59026369168357,0.09141864288701883,3.067951318458421,1.1051975008977388,-0.02535496957403553,0.09141864288701804,3.0933062880324567,1.1404100478726695,0.521733879437093,3
