dataset,selector,n,p0_old_mean,p0_old_sd,p0_new_mean,p0_new_sd,p0_delta_mean,p0_delta_sd,gu_old_mean,gu_old_sd,gu_new_mean,gu_new_sd,gu_delta_mean,gu_delta_sd,retrain_old_mean,retrain_old_sd,retrain_new_mean,retrain_new_sd,retrain_delta_mean,retrain_delta_sd,gap_old_mean,gap_old_sd,gap_new_mean,gap_new_sd,gap_delta_mean,gap_delta_sd,p0_gu_old_mean,p0_gu_old_sd,p0_gu_new_mean,p0_gu_new_sd,p0_gu_delta_mean,p0_gu_delta_sd,p0_retrain_old_mean,p0_retrain_old_sd,p0_retrain_new_mean,p0_retrain_new_sd,p0_retrain_delta_mean,p0_retrain_delta_sd,selection_same_n,method_hits,method_misses
CiteSeer,CELF,3,76.72672672672672,0.0,74.47447447447448,0.0,-2.252252252252248,0.0,71.37137137137137,1.3541290549017733,74.52452452452452,1.5189180085579124,3.1531531531531507,1.9169887890095665,76.02602602602603,0.3125624623823015,73.92392392392392,0.3125624623823095,-2.102102102102099,0.6006006006006075,4.654654654654654,1.1336087740646819,-0.6006006006005956,1.8266554145039797,-5.25525525525525,2.181056913863965,5.355355355355353,1.3541290549017733,-0.05005005005004648,1.5189180085579124,-5.405405405405399,1.9169887890095665,0.7007007007006981,0.3125624623823015,0.5505505505505491,0.3125624623823095,-0.1501501501501489,0.6006006006006075,3,2,4
CiteSeer,Degree,1,76.72672672672672,,74.47447447447448,,-2.252252252252248,,75.52552552552552,,73.12312312312312,,-2.4024024024024015,,75.52552552552552,,74.62462462462463,,-0.9009009009008935,,0.0,,1.501501501501508,,1.501501501501508,,1.2012012012012008,,1.3513513513513544,,0.15015015015015365,,1.2012012012012008,,-0.15015015015015365,,-1.3513513513513544,,1,2,0
CiteSeer,RR-1024,3,76.72672672672672,0.0,74.47447447447448,0.0,-2.252252252252248,0.0,74.47447447447448,2.165496261539933,74.47447447447448,0.45045045045044674,0.0,2.6050077436782946,76.32632632632632,0.3467569184322075,75.77577577577578,0.879799591153497,-0.5505505505505445,0.70958192586375,1.8518518518518476,2.500499699058417,1.3013013013013033,0.9174325715627242,-0.5505505505505445,2.708258109803532,2.252252252252248,2.165496261539933,0.0,0.45045045045044674,-2.252252252252248,2.6050077436782946,0.40040040040040026,0.3467569184322075,-1.3013013013013033,0.879799591153497,-1.7017017017017035,0.70958192586375,3,2,4
CiteSeer,RR-16384,3,76.72672672672672,0.0,74.47447447447448,0.0,-2.252252252252248,0.0,73.02302302302301,3.114786362863186,73.77377377377378,0.5684592938739064,0.7507507507507635,3.1780796529304407,76.22622622622623,0.08668922960805393,74.77477477477478,0.5201353776483072,-1.4514514514514474,0.5684592938738983,3.2032032032032114,3.0341230362818163,1.0010010010010006,0.08668922960805804,-2.2022022022022107,2.966494797344833,3.7037037037037095,3.114786362863186,0.7007007007006981,0.5684592938739064,-3.0030030030030113,3.1780796529304407,0.500500500500498,0.08668922960805393,-0.3003003003003026,0.5201353776483072,-0.8008008008008005,0.5684592938738983,3,6,0
CiteSeer,RR-4096,3,76.72672672672672,0.0,74.47447447447448,0.0,-2.252252252252248,0.0,74.32432432432432,1.0510510510510471,75.27527527527528,0.7557391827097807,0.9509509509509494,0.3125624623823015,76.72672672672672,0.3003003003003002,74.92492492492492,0.6880744286720486,-1.8018018018018012,0.3972599566163034,2.4024024024024064,1.3513513513513473,-0.3503503503503443,1.442796326866821,-2.7527527527527504,0.22935814289067252,2.4024024024024015,1.0510510510510471,-0.8008008008007957,0.7557391827097807,-3.203203203203197,0.3125624623823015,-4.736951571734001e-15,0.3003003003003002,-0.45045045045045146,0.6880744286720486,-0.45045045045044674,0.3972599566163034,3,6,0
CiteSeer,Random,3,76.72672672672672,0.0,74.47447447447448,0.0,-2.252252252252248,0.0,76.32632632632632,0.3125624623823038,75.67567567567568,0.3003003003003002,-0.6506506506506516,0.22935814289067408,76.42642642642643,0.6544893308619619,74.72472472472472,0.70958192586375,-1.7017017017016987,0.7406731024498797,0.10010010010010244,0.34675691843220346,-0.9509509509509447,0.8269625446375437,-1.0510510510510471,0.9133277072519689,0.40040040040040026,0.3125624623823038,-1.2012012012011961,0.3003003003003002,-1.6016016016015964,0.22935814289067408,0.3003003003002978,0.6544893308619619,-0.2502502502502513,0.70958192586375,-0.5505505505505491,0.7406731024498797,3,6,0
Cora,CELF,3,87.82287822878229,0.0,90.22140221402213,0.0,2.398523985239848,0.0,70.11070110701107,5.16605166051661,68.51168511685117,0.7681424352273573,-1.5990159901598986,5.930904527055945,88.06888068880689,0.38407121761367574,89.4218942189422,0.38407121761367574,1.3530135301353046,0.38407121761367574,17.95817958179582,5.232614580911639,20.910209102091027,0.464319460963763,2.9520295202952034,5.629574281325603,17.71217712177122,5.16605166051661,21.709717097170966,0.7681424352273573,3.9975399753997465,5.930904527055945,-0.24600246002460344,0.38407121761367574,0.7995079950799399,0.38407121761367574,1.0455104551045433,0.38407121761367574,3,2,4
Cora,Degree,1,87.82287822878229,,90.22140221402213,,2.398523985239848,,67.15867158671587,,66.97416974169742,,-0.18450184501844547,,87.82287822878229,,90.03690036900369,,2.2140221402214024,,20.664206642066418,,23.062730627306266,,2.398523985239848,,20.664206642066418,,23.24723247232471,,2.5830258302582934,,0.0,,0.18450184501844547,,0.18450184501844547,,1,2,0
Cora,RR-1024,3,87.82287822878229,0.0,90.22140221402213,0.0,2.398523985239848,0.0,68.75768757687577,1.3970254233210972,65.25215252152522,1.8664195455711603,-3.5055350553505513,2.6800441044896584,88.06888068880689,0.8319648990448147,89.79089790897909,0.9467899334772824,1.722017220172205,0.7681424352273573,19.311193111931118,1.6741276247006325,24.538745387453876,2.311801491908058,5.227552275522757,1.972818564864136,19.06519065190652,1.3970254233210972,24.96924969249692,1.8664195455711603,5.9040590405904,2.6800441044896584,-0.2460024600245987,0.8319648990448147,0.43050430504304416,0.9467899334772824,0.6765067650676428,0.7681424352273573,3,2,4
Cora,RR-16384,3,87.82287822878229,0.0,90.22140221402213,0.0,2.398523985239848,0.0,68.88068880688806,7.079519555515811,72.44772447724478,2.040671589549451,3.5670356703567094,8.982669592553837,87.88437884378844,0.38407121761367347,89.2988929889299,0.36900369003689804,1.4145141451414485,0.1065221898873739,19.003690036900373,6.736212643368525,16.851168511685113,2.2165831846174786,-2.152521525215261,8.904643442921662,18.94218942189422,7.079519555515811,17.77367773677736,2.040671589549451,-1.1685116851168615,8.982669592553837,-0.061500615006153225,0.38407121761367347,0.9225092250922463,0.36900369003689804,0.9840098400983995,0.1065221898873739,3,6,0
Cora,RR-4096,3,87.82287822878229,0.0,90.22140221402213,0.0,2.398523985239848,0.0,68.75768757687577,2.919174486176099,72.38622386223862,5.753184485945563,3.6285362853628507,3.560136688414838,87.88437884378844,0.6985127116605486,89.54489544895449,0.6985127116605486,1.6605166051660518,0.0,19.126691266912673,2.3723618108223845,17.158671586715872,5.0561585262157696,-1.968019680196799,3.560136688414838,19.06519065190652,2.919174486176099,17.835178351783515,5.753184485945563,-1.230012300123003,3.560136688414838,-0.061500615006153225,0.6985127116605486,0.6765067650676428,0.6985127116605486,0.7380073800737961,0.0,3,6,0
Cora,Random,3,87.82287822878229,0.0,90.22140221402213,0.0,2.398523985239848,0.0,67.22017220172202,6.663386583410506,75.83025830258302,1.917399417972927,8.610086100860999,7.858854590570649,88.13038130381304,0.2818312235520202,90.15990159901598,0.4260887595495366,2.0295202952029427,0.6652308626317291,20.91020910209102,6.926400110849245,14.329643296432963,1.7438434045212587,-6.580565805658057,8.229140803777483,20.602706027060268,6.663386583410506,14.391143911439116,1.917399417972927,-6.211562115621152,7.858854590570649,-0.3075030750307519,0.2818312235520202,0.061500615006153225,0.4260887595495366,0.36900369003690514,0.6652308626317291,3,6,0
PubMed,CELF,3,85.29411764705883,0.0,88.56490872210954,0.0,3.2707910750507097,0.0,81.75287356321839,0.9728954358746389,86.82386747802569,0.11982291141614461,5.070993914807299,0.853073217102469,85.40398918187965,0.10247088956205543,88.43813387423936,0.11619106731632789,3.0341446923596984,0.11433189028455971,3.6511156186612603,0.9714626805612566,1.6142663962136605,0.22725371297750283,-2.0368492224476,0.7480074136807064,3.5412440838404344,0.9728954358746389,1.7410412440838456,0.11982291141614461,-1.800202839756589,0.853073217102469,-0.1098715348208259,0.10247088956205543,0.1267748478701852,0.11619106731632789,0.2366463826910111,0.11433189028455971,3,2,4
PubMed,Degree,1,85.29411764705883,,88.56490872210954,,3.2707910750507097,,80.85699797160242,,87.2210953346856,,6.364097363083175,,85.37018255578094,,88.71703853955376,,3.3468559837728122,,4.513184584178518,,1.495943204868155,,-3.017241379310363,,4.437119675456401,,1.3438133874239355,,-3.0933062880324655,,-0.0760649087221168,,-0.15212981744421938,,-0.07606490872210259,,1,2,0
PubMed,RR-1024,3,85.29411764705883,0.0,88.56490872210954,0.0,3.2707910750507097,0.0,74.83096686950643,0.32993950804501165,85.48850574712644,0.09599236554766487,10.657538877620008,0.2639028903988518,85.47160243407708,0.06708294399251631,88.35361730899257,0.089043726782056,2.882014874915479,0.06380860746509956,10.640635564570658,0.3461053960352127,2.8651115618661294,0.1341658879850192,-7.775524002704529,0.32700375460028874,10.4631507775524,0.32993950804501165,3.0764029749831017,0.09599236554766487,-7.386747802569299,0.2639028903988518,-0.17748478701825832,0.06708294399251631,0.21129141311697217,0.089043726782056,0.38877620013523045,0.06380860746509956,3,2,4
PubMed,RR-16384,3,85.29411764705883,0.0,88.56490872210954,0.0,3.2707910750507097,0.0,77.66227180527383,1.3672889211676182,84.49121027721434,0.4819667826025402,6.8289384719405035,1.421085162743986,85.3870858688303,0.10247088956205543,88.31135902636917,0.26349657315956604,2.9242731575388774,0.1725877100799712,7.724814063556465,1.2949250715047722,3.820148749154839,0.7248742948746267,-3.904665314401626,1.518972190745439,7.631845841784994,1.3672889211676182,4.0736984448952,0.4819667826025402,-3.558147396889794,1.421085162743986,-0.09296822177147135,0.10247088956205543,0.2535496957403609,0.26349657315956604,0.34651791751183225,0.1725877100799712,3,6,0
PubMed,RR-4096,3,85.29411764705883,0.0,88.56490872210954,0.0,3.2707910750507097,0.0,75.47329276538201,0.9528657094363688,85.49695740365112,1.1051975008977346,10.023664638269105,0.16496975402250946,85.53076402974983,0.03873035577210568,88.59026369168357,0.09141864288701883,3.0594996619337373,0.11710958807091278,10.05747126436782,0.9157088053266945,3.0933062880324513,1.1404100478726644,-6.964164976335368,0.2711124904047537,9.820824881676813,0.9528657094363688,3.0679513184584173,1.1051975008977346,-6.7528735632183965,0.16496975402250946,-0.23664638269100635,0.03873035577210568,-0.025354969574034197,0.09141864288701883,0.21129141311697217,0.11710958807091278,3,6,0
PubMed,Random,3,85.29411764705883,0.0,88.56490872210954,0.0,3.2707910750507097,0.0,77.44252873563218,2.8033394301597365,86.23225152129817,0.7058524800748035,8.789722785665987,2.30009312957053,85.48850574712644,0.21860238601043802,88.61561866125761,0.1774847870182563,3.1271129141311698,0.39388709255344984,8.045977011494253,2.974358761090616,2.383367139959437,0.5342623606923314,-5.6626098715348165,2.538706555423398,7.851588911426641,2.8033394301597365,2.3326572008113637,0.7058524800748035,-5.518931710615277,2.30009312957053,-0.19438810006761287,0.21860238601043802,-0.050709939148073126,0.1774847870182563,0.14367816091953975,0.39388709255344984,3,6,0
